案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期,稼働開始日,稼働年度,活動期間月数,プロジェクト規模,プロジェクト規模_英語,推定人月,技術領域,プロジェクト種別,スキル構成比キー
PRJ0001,AI活用販売管理システム移行プロジェクト,2024/09,2025/10,60000,9600,2025/10/02,2025-10-02,2025,14,小規模,small,34,AI/ML,移行,small_移行
PRJ0002,DX推進基幹システム移行プロジェクト,2026/01,2026/04,79000,6400,2027/06/26,2027-06-26,2027,4,小規模,small,45,DX/デジタル,移行,small_移行
PRJ0003,次世代ECサイト刷新プロジェクト,2025/11,2026/11,64000,7100,2027/03/29,2027-03-29,2027,13,小規模,small,36,従来型,刷新,small_刷新
PRJ0004,次世代在庫管理システム移行プロジェクト,2025/06,2026/04,47000,6700,2026/06/16,2026-06-16,2026,11,小規模,small,26,従来型,移行,small_移行
PRJ0005,クラウド人事システム刷新プロジェクト,2024/03,2024/08,59000,5100,2026/07/30,2026-07-30,2026,6,小規模,small,33,クラウド,刷新,small_刷新
PRJ0006,次世代人事システム構築プロジェクト,2025/03,2025/09,55000,3400,2026/04/13,2026-04-13,2026,7,小規模,small,31,従来型,新規開発,small_新規開発
PRJ0007,DX推進ECサイト移行プロジェクト,2024/02,2026/01,99000,18000,2025/12/05,2025-12-05,2025,24,中規模,medium,56,DX/デジタル,移行,medium_移行
PRJ0008,AI活用人事システム導入プロジェクト,2026/09,2028/08,57000,10000,2025/06/24,2025-06-24,2025,24,小規模,small,32,AI/ML,導入,small_導入
PRJ0009,統合ECサイト導入プロジェクト,2024/11,2026/08,30000,1800,2027/03/23,2027-03-23,2027,22,極小規模,extra_small,17,従来型,導入,extra_small_導入
PRJ0010,統合在庫管理システム導入プロジェクト,2026/06,2027/08,87000,12000,2025/03/15,2025-03-15,2025,15,小規模,small,49,従来型,導入,small_導入
PRJ0011,既存人事システム開発プロジェクト,2024/01,2024/09,14000,750,2026/08/27,2026-08-27,2026,9,極小規模,extra_small,8,従来型,新規開発,extra_small_新規開発
PRJ0012,DX推進ECサイト開発プロジェクト,2024/07,2025/10,96000,17000,2025/12/25,2025-12-25,2025,16,中規模,medium,54,DX/デジタル,新規開発,medium_新規開発
PRJ0013,新規在庫管理システム開発プロジェクト,2025/02,2026/01,97000,19000,2028/01/01,2028-01-01,2028,12,中規模,medium,55,従来型,新規開発,medium_新規開発
PRJ0014,既存人事システム導入プロジェクト,2026/03,2027/12,15000,2300,2026/07/13,2026-07-13,2026,22,極小規模,extra_small,8,従来型,導入,extra_small_導入
PRJ0015,既存基幹システム構築プロジェクト,2025/07,2027/06,25000,4700,2027/01/30,2027-01-30,2027,24,極小規模,extra_small,14,従来型,新規開発,extra_small_新規開発
PRJ0016,クラウド在庫管理システム刷新プロジェクト,2026/03,2028/01,79000,13000,2026/08/31,2026-08-31,2026,23,小規模,small,45,クラウド,刷新,small_刷新
PRJ0017,新規在庫管理システム導入プロジェクト,2024/02,2024/09,53000,6900,2027/02/05,2027-02-05,2027,8,小規模,small,30,従来型,導入,small_導入
PRJ0018,AI活用在庫管理システム移行プロジェクト,2026/07,2026/12,23000,4500,2027/07/23,2027-07-23,2027,6,極小規模,extra_small,13,AI/ML,移行,extra_small_移行
PRJ0019,クラウド在庫管理システム構築プロジェクト,2025/02,2026/06,91000,12000,2027/01/14,2027-01-14,2027,17,中規模,medium,52,クラウド,新規開発,medium_新規開発
PRJ0020,クラウド会計システム刷新プロジェクト,2025/12,2027/08,92000,8000,2026/07/08,2026-07-08,2026,21,中規模,medium,52,クラウド,刷新,medium_刷新
PRJ0021,統合人事システム移行プロジェクト,2025/10,2026/11,44000,7200,2026/05/15,2026-05-15,2026,14,小規模,small,25,従来型,移行,small_移行
PRJ0022,AI活用販売管理システム構築プロジェクト,2024/01,2025/10,24000,1600,2027/05/16,2027-05-16,2027,22,極小規模,extra_small,13,AI/ML,新規開発,extra_small_新規開発
PRJ0023,クラウド人事システム導入プロジェクト,2024/05,2026/04,19000,3200,2026/11/25,2026-11-25,2026,24,極小規模,extra_small,10,クラウド,導入,extra_small_導入
PRJ0024,AI活用顧客管理システム開発プロジェクト,2024/10,2026/09,50000,7500,2025/05/15,2025-05-15,2025,24,小規模,small,28,AI/ML,新規開発,small_新規開発
PRJ0025,次世代基幹システム導入プロジェクト,2026/08,2028/03,10000,750,2026/09/13,2026-09-13,2026,20,極小規模,extra_small,5,従来型,導入,extra_small_導入
PRJ0026,AI活用基幹システム構築プロジェクト,2024/07,2024/10,34000,3700,2026/08/25,2026-08-25,2026,4,極小規模,extra_small,19,AI/ML,新規開発,extra_small_新規開発
