respondent_id,department,position,years_of_service,it_skill_level,usage_frequency,main_services,inquiry_count,overall_satisfaction,response_speed,technical_competence,explanation_clarity,service_politeness,system_stability,security_measures,new_system_support,response_speed_importance,technical_competence_importance,explanation_clarity_importance,service_politeness_importance,most_improvement_needed,additional_services,future_relationship
R0001,人事部,役員,3-5年,基本的,月1回程度,"新システム導入支援,ネットワーク関連,セキュリティ関連",1-2回,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,技術力向上,"研修・講習会,リモート支援",より密接な連携
R0002,その他,課長・部長,1年未満,中級,月1回程度,"ネットワーク関連,PC・機器設定",6-10回,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,システム安定性,FAQ充実,より密接な連携
R0003,管理部,一般職,10年以上,専門的,月1回程度,"セキュリティ関連,PC・機器設定",11回以上,3.0,2.0,,3.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,対応スピード,研修・講習会,現状維持
R0004,その他,役員,1年未満,初心者,年数回,新システム導入支援,0回,2.0,2.0,2.0,3.0,5.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,その他,"研修・講習会,セルフサービス機能",その他
R0005,その他,役員,3-5年,上級,月1回程度,PC・機器設定,6-10回,4.0,1.0,5.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,その他,研修・講習会,その他
R0006,製造部,主任・係長,1-3年,初心者,年数回,"システム障害対応,新システム導入支援,ヘルプデスク",3-5回,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,システム安定性,研修・講習会,その他
R0007,管理部,一般職,5-10年,上級,月1回程度,ネットワーク関連,6-10回,4.0,,3.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,技術力向上,FAQ充実,より自立的な利用
R0008,管理部,役員,3-5年,初心者,週1回程度,新システム導入支援,11回以上,,,4.0,3.0,,3.0,4.0,3.0,2.0,4.0,4.0,4.0,対応スピード,"リモート支援,研修・講習会",その他
R0009,管理部,課長・部長,1年未満,専門的,月1回程度,システム障害対応,0回,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,技術力向上,"セルフサービス機能,研修・講習会",より密接な連携
R0010,その他,課長・部長,5-10年,上級,年数回,"セキュリティ関連,ネットワーク関連,システム障害対応",0回,4.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,技術力向上,"セルフサービス機能,リモート支援",より密接な連携
R0011,人事部,主任・係長,1年未満,中級,週2-3回,"PC・機器設定,セキュリティ関連,新システム導入支援",11回以上,2.0,5.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,対応スピード,研修・講習会,より自立的な利用
R0012,管理部,役員,1年未満,初心者,月1回程度,システム障害対応,11回以上,3.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,対応スピード,"FAQ充実,リモート支援",より自立的な利用
R0013,その他,一般職,1-3年,初心者,週2-3回,新システム導入支援,3-5回,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,その他,"研修・講習会,リモート支援",その他
