カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,システムズエンジニアリング,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,エンタープライズアーキテクチャ,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロジェクトマネジメント,新規事業開発,ビジネスアーキテクト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネス調査,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスモデル設計,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスアナリシス,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,検証（ビジネス視点）,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,マーケティング,新規事業開発,ビジネスアーキテクト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ブランディング,新規事業開発,ビジネスアーキテクト,b,3.0
デザイン,デザイン,顧客・ユーザー理解,新規事業開発,ビジネスアーキテクト,b,3.0
デザイン,デザイン,価値発見・定義,新規事業開発,ビジネスアーキテクト,b,3.0
デザイン,デザイン,設計,新規事業開発,ビジネスアーキテクト,d,1.0
デザイン,デザイン,検証（顧客・ユーザー視点）,新規事業開発,ビジネスアーキテクト,c,2.0
デザイン,デザイン,その他デザイン技術,新規事業開発,ビジネスアーキテクト,d,1.0
データ活用,データ・AIの戦略的活用,データ理解・活用,新規事業開発,ビジネスアーキテクト,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用戦略,新規事業開発,ビジネスアーキテクト,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用業務の設計・事業実装・評価,新規事業開発,ビジネスアーキテクト,c,2.0
データ活用,AI・データサイエンス,数理統計・多変量解析・データ可視化,新規事業開発,ビジネスアーキテクト,d,1.0
データ活用,AI・データサイエンス,機械学習・深層学習,新規事業開発,ビジネスアーキテクト,d,1.0
データ活用,データエンジニアリング,データ活用基盤設計,新規事業開発,ビジネスアーキテクト,d,1.0
データ活用,データエンジニアリング,データ活用基盤実装・運用,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,コンピュータサイエンス,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,チーム開発,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,ソフトウェア設計手法,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,新規事業開発,ビジネスアーキテクト,c,2.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,SREプロセス,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,サービス活用,新規事業開発,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,新規事業開発,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,新規事業開発,ビジネスアーキテクト,d,1.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,新規事業開発,ビジネスアーキテクト,z,2.5
