カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,データビジネス,データサイエンティスト,c,2.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,データエンジニア,データサイエンティスト,d,1.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,バックエンドエンジニア,ソフトウェアエンジニア,d,1.0
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,クラウドエンジニア/SRE,ソフトウェアエンジニア,d,1.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,データビジネス,データサイエンティスト,c,2.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,データエンジニア,データサイエンティスト,c,2.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,新規事業開発,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,サービスデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,データビジネス,データサイエンティスト,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,データエンジニア,データサイエンティスト,d,1.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
