案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期,プロジェクト規模,プロジェクト種別,技術領域,開発_ビジネスケイパビリティ(人月),開発_デリバリケイパビリティ(人月),開発_テクニカルケイパビリティ(人月),開発_リーダーシップケイパビリティ(人月),運用_ビジネスケイパビリティ(人月),運用_デリバリケイパビリティ(人月),運用_テクニカルケイパビリティ(人月),運用_リーダーシップケイパビリティ(人月)
PRJ0001,AI活用販売管理システム移行プロジェクト,2024/09,2025/10,60000,9600,2025/10/02,extra_small,移行,AI/ML,0.72,2.1599999999999997,3.96,0.36,0.8640000000000001,2.592,4.752000000000001,0.43200000000000005
PRJ0002,DX推進基幹システム移行プロジェクト,2026/01,2026/04,79000,6400,2027/06/26,extra_small,移行,DX/デジタル,0.9480000000000001,2.844,5.214,0.47400000000000003,0.576,1.728,3.168,0.288
PRJ0003,次世代ECサイト刷新プロジェクト,2025/11,2026/11,64000,7100,2027/03/29,extra_small,刷新,従来型,1.152,1.536,4.608,0.384,0.639,1.9169999999999998,3.5145,0.3195
PRJ0004,次世代在庫管理システム移行プロジェクト,2025/06,2026/04,47000,6700,2026/06/16,extra_small,移行,従来型,0.564,1.692,3.102,0.282,0.6030000000000001,1.809,3.3165000000000004,0.30150000000000005
PRJ0005,クラウド人事システム刷新プロジェクト,2024/03,2024/08,59000,5100,2026/07/30,extra_small,刷新,クラウド,1.062,1.4160000000000001,4.248,0.35400000000000004,0.459,1.377,2.5245,0.2295
PRJ0006,次世代人事システム構築プロジェクト,2025/03,2025/09,55000,3400,2026/04/13,extra_small,新規開発,従来型,1.65,0.66,3.9599999999999995,0.33,0.30600000000000005,0.9179999999999999,1.6830000000000003,0.15300000000000002
PRJ0007,DX推進ECサイト移行プロジェクト,2024/02,2026/01,99000,18000,2025/12/05,extra_small,移行,DX/デジタル,1.1880000000000002,3.564,6.534000000000001,0.5940000000000001,1.62,4.859999999999999,8.91,0.81
PRJ0008,AI活用人事システム導入プロジェクト,2026/09,2028/08,57000,10000,2025/06/24,extra_small,導入,AI/ML,0.684,1.026,4.787999999999999,0.342,0.9,2.6999999999999997,4.95,0.45
PRJ0009,統合ECサイト導入プロジェクト,2024/11,2026/08,30000,1800,2027/03/23,extra_small,導入,従来型,0.36,0.5399999999999999,2.5199999999999996,0.18,0.16200000000000003,0.486,0.8910000000000001,0.08100000000000002
PRJ0010,統合在庫管理システム導入プロジェクト,2026/06,2027/08,87000,12000,2025/03/15,extra_small,導入,従来型,1.044,1.5659999999999998,7.307999999999999,0.522,1.08,3.24,5.940000000000001,0.54
PRJ0011,既存人事システム開発プロジェクト,2024/01,2024/09,14000,750,2026/08/27,extra_small,新規開発,従来型,0.42,0.168,1.008,0.084,0.0675,0.2025,0.3712500000000001,0.03375
PRJ0012,DX推進ECサイト開発プロジェクト,2024/07,2025/10,96000,17000,2025/12/25,extra_small,新規開発,DX/デジタル,2.88,1.152,6.912,0.576,1.5300000000000002,4.59,8.415000000000001,0.7650000000000001
PRJ0013,新規在庫管理システム開発プロジェクト,2025/02,2026/01,97000,19000,2028/01/01,extra_small,新規開発,従来型,2.9099999999999997,1.164,6.983999999999999,0.582,1.7100000000000002,5.13,9.405000000000001,0.8550000000000001
PRJ0014,既存人事システム導入プロジェクト,2026/03,2027/12,15000,2300,2026/07/13,extra_small,導入,従来型,0.18,0.26999999999999996,1.2599999999999998,0.09,0.207,0.6209999999999999,1.1385,0.1035
PRJ0015,既存基幹システム構築プロジェクト,2025/07,2027/06,25000,4700,2027/01/30,extra_small,新規開発,従来型,0.75,0.30000000000000004,1.7999999999999998,0.15000000000000002,0.42300000000000004,1.2690000000000001,2.3265000000000002,0.21150000000000002
