社員ID,稼働開始月,稼働終了月,稼働期間FTE,ビジネスケイパビリティ,デリバリケイパビリティ,テクニカルケイパビリティ,リーダーシップケイパビリティ
EMP00001,2022/03,,0.72,0.96,0.9,0.58,0.71
EMP00002,2021/02,,0.8,0.21,0.46,0.7,0.64
EMP00003,2021/05,,0.46,0.6,1.0,0.72,0.64
EMP00004,2026/03,,0.55,0.63,0.55,0.53,0.14
EMP00005,2023/11,,0.36,0.14,0.49,0.65,0.24
EMP00006,2025/04,,0.43,0.51,0.57,0.52,0.11
EMP00007,2022/01,2022/09,0.21,0.66,0.53,0.38,0.81
EMP00008,2025/09,,0.65,0.91,0.61,0.86,1.0
EMP00009,2021/08,,0.66,0.51,0.4,0.92,0.57
EMP00010,2023/03,2027/01,0.51,0.9,0.82,0.72,0.66
EMP00011,2025/05,,0.2,0.73,0.3,0.65,0.53
EMP00012,2021/09,,0.56,0.58,0.62,0.5,0.38
EMP00013,2026/02,,0.5,0.52,0.78,0.32,0.65
EMP00014,2025/08,,0.56,0.51,0.69,0.26,0.57
EMP00015,2026/06,,0.6,0.9,0.41,0.93,0.59
EMP00016,2026/05,2029/07,0.2,0.61,0.96,0.93,0.4
EMP00017,2022/11,2024/03,0.57,0.08,0.45,0.38,0.23
EMP00018,2022/01,,0.3,0.55,0.44,0.57,0.7
EMP00019,2023/12,,0.76,0.24,0.66,0.12,0.31
EMP00020,2022/06,,0.54,0.66,0.51,0.83,0.66
