project_id,project_name,category,strategic_alignment,risk,urgency,importance,budget,duration,roi,start_date,department,stakeholders,system_database_access,technology_stack,middleware_library,vendor_partner,skill_set,procurement_contract,master_data,end_user,launch_timing,regulatory_deadline,complexity
P2F47FC5B,Cost Reduction Project 001,Cost_Reduction,3,2,3,3,50,13,116,2025-09-03,Strategy,9,顧客管理システム,AWS/Azure クラウド,Apache/Nginx,Microsoft,データサイエンティスト,保守契約,勘定科目マスタ,営業部門,年度始稼働,会計基準変更,Low
PB2C7833B,Cost Reduction Project 002,Cost_Reduction,4,1,4,4,16,14,130,2026-02-22,R&D,7,基幹業務システム,REST API,Kafka/RabbitMQ,IBM,Java 開発者,コンサルティング,顧客マスタ,製造部門,同四半期稼働,国際基準対応,Low
PB259FA64,Process Improvement Project 003,Process_Improvement,4,1,4,2,116,5,130,2025-12-18,Quality Assurance,12,データウェアハウス,React/Angular,Redis/Memcached,地場SI会社,Java 開発者,ハードウェア調達,なし,経理部門,同四半期稼働,個人情報保護法,Low
P382ED222,Digital Transformation Project 004,Digital_Transformation,5,3,3,5,266,23,210,2025-11-05,Quality Assurance,7,なし,なし,なし,IBM,プロジェクトマネージャー,なし,製品マスタ,経営層,なし,会計基準変更,Medium
P724F58F2,Digital Transformation Project 005,Digital_Transformation,5,3,4,4,432,36,134,2025-11-15,IT,15,データウェアハウス,Java/.NET,Kafka/RabbitMQ,IBM,データサイエンティスト,保守契約,なし,製造部門,連続月稼働,なし,Medium
P412ABCDD,Innovation Project 006,Innovation,5,4,1,4,101,13,337,2025-12-02,Supply Chain,12,認証システム,React/Angular,Docker/Kubernetes,Oracle,データサイエンティスト,ソフトウェアライセンス,勘定科目マスタ,カスタマーサポート,同月稼働,個人情報保護法,Medium
PFA01E7FB,IT Infrastructure Project 007,IT_Infrastructure,5,1,5,4,355,8,129,2026-02-01,Strategy,10,ファイルサーバー,BI ツール,共通ライブラリ,なし,Java 開発者,なし,なし,営業部門,なし,国際基準対応,Low
P687CA718,Process Improvement Project 008,Process_Improvement,2,1,3,2,136,3,93,2026-04-03,Operations,11,顧客管理システム,なし,Kafka/RabbitMQ,なし,業務アナリスト,保守契約,勘定科目マスタ,経理部門,連続月稼働,税制改正,Low
PDB31A11B,Digital Transformation Project 009,Digital_Transformation,4,4,3,5,119,15,212,2025-12-25,Finance,3,基幹業務システム,React/Angular,Apache/Nginx,IBM,業務アナリスト,コンサルティング,顧客マスタ,経営層,連続月稼働,会計基準変更,Low
P10BDDC9A,Cost Reduction Project 010,Cost_Reduction,5,1,4,4,69,10,141,2025-12-27,Sales,13,なし,BI ツール,Docker/Kubernetes,Salesforce,UI/UX デザイナー,ハードウェア調達,製品マスタ,経理部門,同月稼働,税制改正,Low
P050159F0,IT Infrastructure Project 011,IT_Infrastructure,5,1,3,3,412,7,109,2025-08-24,IT,8,顧客管理システム,React/Angular,Redis/Memcached,Oracle,業務アナリスト,コンサルティング,製品マスタ,経営層,連続月稼働,なし,Low
PB1FDFABA,Compliance Project 012,Compliance,3,1,5,4,64,4,85,2026-01-18,Sales,9,認証システム,なし,Apache/Nginx,地場SI会社,業務アナリスト,なし,顧客マスタ,営業部門,年度末稼働,なし,Low
PD5FCE918,Process Improvement Project 013,Process_Improvement,2,1,2,4,134,7,114,2025-10-22,HR,10,基幹業務システム,AWS/Azure クラウド,Docker/Kubernetes,なし,なし,保守契約,顧客マスタ,営業部門,なし,国際基準対応,Low
PF7155950,IT Infrastructure Project 014,IT_Infrastructure,3,1,4,4,296,12,190,2026-02-11,IT,5,認証システム,AWS/Azure クラウド,Docker/Kubernetes,Oracle,なし,コンサルティング,組織マスタ,カスタマーサポート,なし,なし,Low
PDD0AB387,Compliance Project 015,Compliance,3,1,5,4,54,12,99,2025-08-21,Supply Chain,8,顧客管理システム,AWS/Azure クラウド,共通ライブラリ,SAP,プロジェクトマネージャー,保守契約,製品マスタ,営業部門,年度始稼働,個人情報保護法,Low
P59E0E43A,Digital Transformation Project 016,Digital_Transformation,4,4,2,5,222,30,183,2025-08-10,Strategy,4,認証システム,なし,共通ライブラリ,Salesforce,プロジェクトマネージャー,クラウドサービス,組織マスタ,経理部門,なし,なし,Medium
PA4D0DC2F,Process Improvement Project 017,Process_Improvement,3,1,2,4,185,12,118,2025-12-29,Marketing,3,認証システム,React/Angular,共通ライブラリ,IBM,Java 開発者,保守契約,製品マスタ,経営層,同四半期稼働,会計基準変更,Low
P5767FFB1,Process Improvement Project 018,Process_Improvement,2,1,3,2,132,12,138,2026-04-17,IT,13,ファイルサーバー,BI ツール,なし,IBM,データサイエンティスト,クラウドサービス,顧客マスタ,営業部門,なし,国際基準対応,Low
P048999F4,Digital Transformation Project 019,Digital_Transformation,5,4,2,5,308,33,282,2025-12-03,Legal,10,データウェアハウス,AWS/Azure クラウド,Apache/Nginx,地場SI会社,UI/UX デザイナー,クラウドサービス,顧客マスタ,営業部門,同四半期稼働,会計基準変更,Medium
P2C42EE55,Cost Reduction Project 020,Cost_Reduction,3,2,4,3,43,3,128,2025-08-08,R&D,12,ファイルサーバー,REST API,Docker/Kubernetes,Microsoft,Java 開発者,クラウドサービス,組織マスタ,営業部門,同四半期稼働,会計基準変更,Low
PF1112278,Cost Reduction Project 021,Cost_Reduction,5,1,4,4,54,5,131,2025-10-19,Sales,3,基幹業務システム,なし,Kafka/RabbitMQ,なし,UI/UX デザイナー,なし,なし,経理部門,同四半期稼働,会計基準変更,Low
PC6537585,Cost Reduction Project 022,Cost_Reduction,4,1,4,3,66,15,207,2026-01-16,HR,15,基幹業務システム,REST API,Apache/Nginx,地場SI会社,データサイエンティスト,コンサルティング,組織マスタ,製造部門,同月稼働,税制改正,Low
P60977BD7,Process Improvement Project 023,Process_Improvement,3,2,4,3,27,6,93,2025-10-20,Strategy,7,顧客管理システム,AWS/Azure クラウド,共通ライブラリ,SAP,インフラエンジニア,なし,組織マスタ,カスタマーサポート,年度始稼働,国際基準対応,Low
P7EAC81CB,IT Infrastructure Project 024,IT_Infrastructure,5,1,4,3,412,19,80,2026-04-13,Legal,13,なし,なし,なし,地場SI会社,データサイエンティスト,クラウドサービス,取引先マスタ,営業部門,なし,税制改正,Low
PCA0A5741,Compliance Project 025,Compliance,3,1,5,5,123,9,67,2025-09-24,Finance,9,なし,Java/.NET,なし,地場SI会社,データサイエンティスト,保守契約,勘定科目マスタ,製造部門,年度末稼働,国際基準対応,Low
P4FC1D419,IT Infrastructure Project 026,IT_Infrastructure,4,1,4,5,360,16,139,2026-03-04,Customer Service,13,基幹業務システム,React/Angular,Docker/Kubernetes,なし,なし,なし,製品マスタ,なし,同月稼働,税制改正,Low
PDB58B652,Compliance Project 027,Compliance,3,1,5,4,246,6,48,2025-08-02,IT,6,認証システム,React/Angular,Apache/Nginx,SAP,UI/UX デザイナー,なし,勘定科目マスタ,経理部門,なし,なし,Low
P7B43B43A,Innovation Project 028,Innovation,4,3,1,5,32,30,104,2026-02-23,Finance,5,なし,React/Angular,Docker/Kubernetes,IBM,プロジェクトマネージャー,ソフトウェアライセンス,顧客マスタ,カスタマーサポート,連続月稼働,業界規制,Medium
PFF7118ED,Cost Reduction Project 029,Cost_Reduction,5,2,4,4,129,4,211,2026-03-08,HR,15,基幹業務システム,なし,Kafka/RabbitMQ,なし,なし,保守契約,取引先マスタ,なし,連続月稼働,税制改正,Low
P4DDEDB18,Innovation Project 030,Innovation,5,4,1,4,201,16,326,2025-08-31,Operations,5,基幹業務システム,Java/.NET,なし,Microsoft,業務アナリスト,ソフトウェアライセンス,顧客マスタ,カスタマーサポート,年度末稼働,税制改正,Low
P94208655,Compliance Project 031,Compliance,4,1,4,5,139,12,32,2026-01-31,Customer Service,3,データウェアハウス,BI ツール,Docker/Kubernetes,なし,なし,コンサルティング,勘定科目マスタ,なし,なし,国際基準対応,Low
P62F66210,Compliance Project 032,Compliance,4,1,5,5,164,3,79,2026-01-09,Quality Assurance,13,認証システム,なし,Redis/Memcached,なし,UI/UX デザイナー,ソフトウェアライセンス,勘定科目マスタ,経営層,同月稼働,業界規制,Low
P5FB72F3F,Compliance Project 033,Compliance,3,1,4,5,86,3,63,2026-01-31,R&D,6,認証システム,BI ツール,Kafka/RabbitMQ,なし,UI/UX デザイナー,クラウドサービス,取引先マスタ,製造部門,同月稼働,業界規制,Low
P9959560A,IT Infrastructure Project 034,IT_Infrastructure,3,2,3,5,85,7,176,2025-08-05,Finance,6,顧客管理システム,React/Angular,Redis/Memcached,Microsoft,データサイエンティスト,コンサルティング,なし,営業部門,年度始稼働,会計基準変更,Low
PF419A77F,Innovation Project 035,Innovation,4,3,3,5,88,30,133,2025-12-27,Marketing,12,顧客管理システム,BI ツール,共通ライブラリ,地場SI会社,UI/UX デザイナー,コンサルティング,なし,経理部門,同月稼働,国際基準対応,Medium
P0BC25F09,Cost Reduction Project 036,Cost_Reduction,3,2,3,3,103,10,199,2026-01-26,Marketing,11,なし,BI ツール,Apache/Nginx,なし,UI/UX デザイナー,コンサルティング,顧客マスタ,カスタマーサポート,同四半期稼働,なし,Low
P30B1A7F0,Innovation Project 037,Innovation,4,3,3,5,168,25,325,2026-03-25,Customer Service,9,なし,React/Angular,Kafka/RabbitMQ,Oracle,なし,ソフトウェアライセンス,顧客マスタ,製造部門,年度末稼働,会計基準変更,Medium
PCC30A890,Innovation Project 038,Innovation,4,3,2,4,123,21,158,2026-01-18,HR,8,データウェアハウス,React/Angular,なし,Oracle,プロジェクトマネージャー,ハードウェア調達,勘定科目マスタ,経理部門,同月稼働,会計基準変更,Low
P6D7A47CE,Cost Reduction Project 039,Cost_Reduction,4,1,4,4,129,14,94,2025-09-06,HR,6,認証システム,なし,Redis/Memcached,Oracle,業務アナリスト,保守契約,組織マスタ,カスタマーサポート,年度始稼働,国際基準対応,Low
PF296AD81,Process Improvement Project 040,Process_Improvement,4,2,3,3,199,17,94,2025-12-24,HR,6,顧客管理システム,なし,Redis/Memcached,Oracle,Java 開発者,なし,勘定科目マスタ,なし,連続月稼働,会計基準変更,Low
P05D99F62,Digital Transformation Project 041,Digital_Transformation,5,4,4,5,202,18,195,2025-11-14,R&D,5,データウェアハウス,AWS/Azure クラウド,なし,Salesforce,データサイエンティスト,クラウドサービス,顧客マスタ,営業部門,年度始稼働,税制改正,Low
P7E4A112E,Cost Reduction Project 042,Cost_Reduction,5,2,3,3,87,9,212,2026-03-03,R&D,5,顧客管理システム,BI ツール,Docker/Kubernetes,IBM,なし,ハードウェア調達,取引先マスタ,カスタマーサポート,同月稼働,国際基準対応,Low
PE32EF89E,Cost Reduction Project 043,Cost_Reduction,3,1,4,3,78,3,232,2026-02-19,Strategy,12,ファイルサーバー,REST API,共通ライブラリ,SAP,UI/UX デザイナー,コンサルティング,組織マスタ,経営層,年度末稼働,税制改正,Low
P5FE7884C,Compliance Project 044,Compliance,3,1,4,5,209,4,50,2025-11-20,Operations,11,顧客管理システム,REST API,Apache/Nginx,SAP,UI/UX デザイナー,なし,勘定科目マスタ,カスタマーサポート,同四半期稼働,個人情報保護法,Low
PBC4693B1,Digital Transformation Project 045,Digital_Transformation,5,4,3,4,339,20,280,2025-10-30,Sales,4,ファイルサーバー,REST API,なし,Microsoft,インフラエンジニア,ソフトウェアライセンス,顧客マスタ,営業部門,連続月稼働,税制改正,Medium
