sentence_id,sentence,score,positive,negative,sentiment,model_name
1,先日利用させていただいたサービスについて、感想をお伝えします,0.0,,,中立,dictionary
2,スタッフの皆様の対応が非常に丁寧で、とても好感が持てました,0.44999999999999996,,,ポジティブ,dictionary
3,特に受付の方の笑顔が素晴らしく、気持ちよく利用することができました,0.0,,,中立,dictionary
4,施設も清潔で快適な環境が整っていたと思います,0.6,,,ポジティブ,dictionary
5,ただし、待ち時間が予想以上に長く、少しストレスを感じました,0.0,,,中立,dictionary
6,予約システムの改善が必要ではないでしょうか,-0.3,,,ネガティブ,dictionary
7,また、料金が少し高めに感じられたのが残念です,-0.3,,,ネガティブ,dictionary
8,コストパフォーマンスの面では改善の余地があると思います,0.3,,,ポジティブ,dictionary
9,それでも、全体的には満足しています,0.6,,,ポジティブ,dictionary
10,提供されたサービスの質は高く、専門性を感じました,0.0,,,中立,dictionary
11,次回も機会があれば利用したいと考えています,0.0,,,中立,dictionary
12,友人にもおすすめできるサービスだと思います,0.3,,,ポジティブ,dictionary
13,一点だけ改善を希望するとすれば、駐車場の案内表示です,0.3,,,ポジティブ,dictionary
14,初めて訪れた際、駐車場の場所が分かりにくく困りました,0.0,,,中立,dictionary
15,より明確な案内があると助かります,0.0,,,中立,dictionary
16,今後のサービス向上に期待しています,0.3,,,ポジティブ,dictionary
