案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期,稼働開始日,稼働年度,活動期間月数,プロジェクト規模,プロジェクト規模_英語,推定人月,技術領域,プロジェクト種別,スキル構成比キー
PRJ0001,既存会計システム刷新プロジェクト,2025/09,2026/02,77000,12000,2027/12/08,2027-12-08,2027,6,小規模,small,33,従来型,刷新,small_刷新
PRJ0002,統合販売管理システム導入プロジェクト,2026/04,2027/09,27000,1500,2026/12/24,2026-12-24,2026,18,極小規模,extra_small,11,従来型,導入,extra_small_導入
PRJ0003,統合在庫管理システム移行プロジェクト,2025/04,2026/11,60000,7100,2026/08/18,2026-08-18,2026,20,小規模,small,25,従来型,移行,small_移行
PRJ0004,次世代会計システム導入プロジェクト,2026/12,2027/10,71000,13000,2027/09/28,2027-09-28,2027,11,小規模,small,30,従来型,導入,small_導入
PRJ0005,AI活用顧客管理システム構築プロジェクト,2025/01,2025/09,80000,13000,2026/08/17,2026-08-17,2026,9,小規模,small,34,AI/ML,新規開発,small_新規開発
PRJ0006,新規販売管理システム移行プロジェクト,2024/05,2026/03,50000,6200,2027/11/25,2027-11-25,2027,23,小規模,small,21,従来型,移行,small_移行
PRJ0007,次世代顧客管理システム開発プロジェクト,2024/07,2025/12,17000,3100,2027/06/23,2027-06-23,2027,18,極小規模,extra_small,7,従来型,新規開発,extra_small_新規開発
PRJ0008,統合人事システム開発プロジェクト,2026/09,2028/09,25000,3500,2025/08/29,2025-08-29,2025,25,極小規模,extra_small,10,従来型,新規開発,extra_small_新規開発
PRJ0009,AI活用在庫管理システム構築プロジェクト,2025/07,2027/05,28000,4400,2027/06/08,2027-06-08,2027,23,極小規模,extra_small,12,AI/ML,新規開発,extra_small_新規開発
PRJ0010,DX推進人事システム刷新プロジェクト,2026/09,2027/07,72000,10000,2025/07/24,2025-07-24,2025,11,小規模,small,30,DX/デジタル,刷新,small_刷新
PRJ0011,統合ECサイト構築プロジェクト,2024/07,2025/09,53000,7100,2026/12/11,2026-12-11,2026,15,小規模,small,22,従来型,新規開発,small_新規開発
