カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,システムズエンジニアリング,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,エンタープライズアーキテクチャ,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロジェクトマネジメント,社内業務の高度化・効率化,ビジネスアーキテクト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネス調査,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスモデル設計,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスアナリシス,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,検証（ビジネス視点）,社内業務の高度化・効率化,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,マーケティング,社内業務の高度化・効率化,ビジネスアーキテクト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ブランディング,社内業務の高度化・効率化,ビジネスアーキテクト,b,3.0
デザイン,デザイン,顧客・ユーザー理解,社内業務の高度化・効率化,ビジネスアーキテクト,b,3.0
デザイン,デザイン,価値発見・定義,社内業務の高度化・効率化,ビジネスアーキテクト,b,3.0
デザイン,デザイン,設計,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
デザイン,デザイン,検証（顧客・ユーザー視点）,社内業務の高度化・効率化,ビジネスアーキテクト,c,2.0
デザイン,デザイン,その他デザイン技術,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
データ活用,データ・AIの戦略的活用,データ理解・活用,社内業務の高度化・効率化,ビジネスアーキテクト,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用戦略,社内業務の高度化・効率化,ビジネスアーキテクト,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用業務の設計・事業実装・評価,社内業務の高度化・効率化,ビジネスアーキテクト,c,2.0
データ活用,AI・データサイエンス,数理統計・多変量解析・データ可視化,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
データ活用,AI・データサイエンス,機械学習・深層学習,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
データ活用,データエンジニアリング,データ活用基盤設計,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
データ活用,データエンジニアリング,データ活用基盤実装・運用,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,コンピュータサイエンス,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,チーム開発,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,ソフトウェア設計手法,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,社内業務の高度化・効率化,ビジネスアーキテクト,c,2.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,SREプロセス,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,サービス活用,社内業務の高度化・効率化,ビジネスアーキテクト,c,2.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
