sentence_id,sentence,score,model
1,先日利用させていただいたサービスについて、感想をお伝えします,0.0,dictionary
2,スタッフの皆様の対応が非常に丁寧で、とても好感が持てました,0.4499999999999999,dictionary
3,特に受付の方の笑顔が素晴らしく、気持ちよく利用することができました,0.0,dictionary
4,施設も清潔で快適な環境が整っていたと思います,0.6,dictionary
5,ただし、待ち時間が予想以上に長く、少しストレスを感じました,0.0,dictionary
6,予約システムの改善が必要ではないでしょうか,-0.3,dictionary
7,また、料金が少し高めに感じられたのが残念です,-0.3,dictionary
8,コストパフォーマンスの面では改善の余地があると思います,0.3,dictionary
9,それでも、全体的には満足しています,0.6,dictionary
10,提供されたサービスの質は高く、専門性を感じました,0.0,dictionary
11,次回も機会があれば利用したいと考えています,0.0,dictionary
12,友人にもおすすめできるサービスだと思います,0.3,dictionary
13,一点だけ改善を希望するとすれば、駐車場の案内表示です,0.3,dictionary
14,初めて訪れた際、駐車場の場所が分かりにくく困りました,0.0,dictionary
15,より明確な案内があると助かります,0.0,dictionary
16,今後のサービス向上に期待しています,0.3,dictionary
1,先日利用させていただいたサービスについて、感想をお伝えします,0.9173060171306132,transformer1
2,スタッフの皆様の対応が非常に丁寧で、とても好感が持てました,0.9999113346311788,transformer1
3,特に受付の方の笑顔が素晴らしく、気持ちよく利用することができました,0.9999129712414287,transformer1
4,施設も清潔で快適な環境が整っていたと思います,0.999913688916422,transformer1
5,ただし、待ち時間が予想以上に長く、少しストレスを感じました,-0.994135225424543,transformer1
6,予約システムの改善が必要ではないでしょうか,-0.9982838751748204,transformer1
7,また、料金が少し高めに感じられたのが残念です,-0.9931966431904584,transformer1
8,コストパフォーマンスの面では改善の余地があると思います,-0.8700397163629532,transformer1
9,それでも、全体的には満足しています,0.999888426191319,transformer1
10,提供されたサービスの質は高く、専門性を感じました,0.9992974114138632,transformer1
11,次回も機会があれば利用したいと考えています,0.9997375238453968,transformer1
12,友人にもおすすめできるサービスだと思います,0.9993370010051876,transformer1
13,一点だけ改善を希望するとすれば、駐車場の案内表示です,-0.9994917674048338,transformer1
14,初めて訪れた際、駐車場の場所が分かりにくく困りました,-0.999300923460396,transformer1
15,より明確な案内があると助かります,0.9998989464620536,transformer1
16,今後のサービス向上に期待しています,0.9986359663307668,transformer1
1,先日利用させていただいたサービスについて、感想をお伝えします,-0.4226700225844979,transformer2
2,スタッフの皆様の対応が非常に丁寧で、とても好感が持てました,-0.0086713915225118,transformer2
3,特に受付の方の笑顔が素晴らしく、気持ちよく利用することができました,-0.0071410109521821,transformer2
4,施設も清潔で快適な環境が整っていたと思います,-0.0330138301942497,transformer2
5,ただし、待ち時間が予想以上に長く、少しストレスを感じました,0.9794130427762866,transformer2
6,予約システムの改善が必要ではないでしょうか,-0.5394377261400223,transformer2
7,また、料金が少し高めに感じられたのが残念です,0.985982802696526,transformer2
8,コストパフォーマンスの面では改善の余地があると思います,-0.67727180570364,transformer2
9,それでも、全体的には満足しています,-0.0711260749958455,transformer2
10,提供されたサービスの質は高く、専門性を感じました,-0.0627419650554657,transformer2
11,次回も機会があれば利用したいと考えています,-0.093888483243063,transformer2
12,友人にもおすすめできるサービスだと思います,-0.0636848728172481,transformer2
13,一点だけ改善を希望するとすれば、駐車場の案内表示です,-0.6781801730394363,transformer2
14,初めて訪れた際、駐車場の場所が分かりにくく困りました,0.9472093135118484,transformer2
15,より明確な案内があると助かります,-0.0423879418522119,transformer2
16,今後のサービス向上に期待しています,-0.1885017650201916,transformer2
