カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,戦略・マネジメント・システム,システムズエンジニアリング,データアナリティクス,データサイエンティスト,c,2.0
ビジネス変革,戦略・マネジメント・システム,エンタープライズアーキテクチャ,データアナリティクス,データサイエンティスト,c,2.0
ビジネス変革,戦略・マネジメント・システム,プロジェクトマネジメント,データアナリティクス,データサイエンティスト,c,2.0
ビジネス変革,ビジネスモデル・プロセス,ビジネス調査,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスモデル設計,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスアナリシス,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,検証（ビジネス視点）,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,マーケティング,データアナリティクス,データサイエンティスト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ブランディング,データアナリティクス,データサイエンティスト,c,2.0
デザイン,デザイン,顧客・ユーザー理解,データアナリティクス,データサイエンティスト,c,2.0
デザイン,デザイン,価値発見・定義,データアナリティクス,データサイエンティスト,c,2.0
デザイン,デザイン,設計,データアナリティクス,データサイエンティスト,d,1.0
デザイン,デザイン,検証（顧客・ユーザー視点）,データアナリティクス,データサイエンティスト,c,2.0
デザイン,デザイン,その他デザイン技術,データアナリティクス,データサイエンティスト,d,1.0
データ活用,データ・AIの戦略的活用,データ理解・活用,データアナリティクス,データサイエンティスト,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用戦略,データアナリティクス,データサイエンティスト,c,2.0
データ活用,データ・AIの戦略的活用,データ・AI活用業務の設計・事業実装・評価,データアナリティクス,データサイエンティスト,b,3.0
データ活用,AI・データサイエンス,数理統計・多変量解析・データ可視化,データアナリティクス,データサイエンティスト,a,5.0
データ活用,AI・データサイエンス,機械学習・深層学習,データアナリティクス,データサイエンティスト,a,5.0
データ活用,データエンジニアリング,データ活用基盤設計,データアナリティクス,データサイエンティスト,c,2.0
データ活用,データエンジニアリング,データ活用基盤実装・運用,データアナリティクス,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,コンピュータサイエンス,データアナリティクス,データサイエンティスト,b,3.0
テクノロジー,ソフトウェア開発,チーム開発,データアナリティクス,データサイエンティスト,b,3.0
テクノロジー,ソフトウェア開発,ソフトウェア設計手法,データアナリティクス,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,データアナリティクス,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,データアナリティクス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,データアナリティクス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,データアナリティクス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,データアナリティクス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,SREプロセス,データアナリティクス,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,サービス活用,データアナリティクス,データサイエンティスト,c,2.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,データアナリティクス,データサイエンティスト,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,データアナリティクス,データサイエンティスト,d,1.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,データアナリティクス,データサイエンティスト,z,2.5
