project_id,project_name,category,strategic_alignment,risk,urgency,importance,budget,duration,roi,start_date,department,stakeholders,system_database_access,technology_stack,middleware_library,vendor_partner,skill_set,procurement_contract,master_data,end_user,launch_timing,regulatory_deadline,complexity
P990EFC47,Cost Reduction Project 001,Cost_Reduction,3,2,3,3,50,13,127,2025-09-03,Strategy,9,顧客管理システム,AWS/Azure クラウド,Apache/Nginx,Microsoft,データサイエンティスト,保守契約,勘定科目マスタ,営業部門,年度始稼働,会計基準変更,Low
PC59DEE4D,Cost Reduction Project 002,Cost_Reduction,4,1,4,4,16,14,143,2026-02-22,R&D,7,基幹業務システム,REST API,Kafka/RabbitMQ,IBM,Java 開発者,コンサルティング,顧客マスタ,製造部門,同四半期稼働,国際基準対応,Low
P0589C4F5,Process Improvement Project 003,Process_Improvement,4,1,4,2,116,5,143,2025-12-18,Quality Assurance,12,データウェアハウス,React/Angular,Redis/Memcached,地場SI会社,Java 開発者,ハードウェア調達,なし,経理部門,同四半期稼働,個人情報保護法,Low
PC8EBCE69,Digital Transformation Project 004,Digital_Transformation,5,3,3,5,266,23,231,2025-11-05,Quality Assurance,7,なし,なし,なし,IBM,プロジェクトマネージャー,なし,製品マスタ,経営層,なし,会計基準変更,Medium
P2813B4D3,Digital Transformation Project 005,Digital_Transformation,5,3,4,4,432,36,147,2025-11-15,IT,15,データウェアハウス,Java/.NET,Kafka/RabbitMQ,IBM,データサイエンティスト,保守契約,なし,製造部門,連続月稼働,なし,Medium
P7C50A5BB,Innovation Project 006,Innovation,5,4,1,4,101,13,370,2025-12-02,Supply Chain,12,認証システム,React/Angular,Docker/Kubernetes,Oracle,データサイエンティスト,ソフトウェアライセンス,勘定科目マスタ,カスタマーサポート,同月稼働,個人情報保護法,Medium
P9062D8E5,IT Infrastructure Project 007,IT_Infrastructure,5,1,5,4,355,8,141,2026-02-01,Strategy,10,ファイルサーバー,BI ツール,共通ライブラリ,なし,Java 開発者,なし,なし,営業部門,なし,国際基準対応,Low
P6F310DCB,Process Improvement Project 008,Process_Improvement,2,1,3,2,136,3,102,2026-04-03,Operations,11,顧客管理システム,なし,Kafka/RabbitMQ,なし,業務アナリスト,保守契約,勘定科目マスタ,経理部門,連続月稼働,税制改正,Low
P444AD886,Digital Transformation Project 009,Digital_Transformation,4,4,3,5,119,15,233,2025-12-25,Finance,3,基幹業務システム,React/Angular,Apache/Nginx,IBM,業務アナリスト,コンサルティング,顧客マスタ,経営層,連続月稼働,会計基準変更,Low
PF3C649B1,Cost Reduction Project 010,Cost_Reduction,5,1,4,4,69,10,155,2025-12-27,Sales,13,なし,BI ツール,Docker/Kubernetes,Salesforce,UI/UX デザイナー,ハードウェア調達,製品マスタ,経理部門,同月稼働,税制改正,Low
PAB5FA13F,IT Infrastructure Project 011,IT_Infrastructure,5,1,3,3,412,7,119,2025-08-24,IT,8,顧客管理システム,React/Angular,Redis/Memcached,Oracle,業務アナリスト,コンサルティング,製品マスタ,経営層,連続月稼働,なし,Low
