カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,クラウドエンジニア/SRE,ソフトウェアエンジニア,d,1.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,システムズエンジニアリング,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
ビジネス変革,戦略・マネジメント・システム,エンタープライズアーキテクチャ,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
ビジネス変革,戦略・マネジメント・システム,プロジェクトマネジメント,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
ビジネス変革,ビジネスモデル・プロセス,ビジネス調査,クラウドエンジニア/SRE,ソフトウェアエンジニア,d,1.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスモデル設計,クラウドエンジニア/SRE,ソフトウェアエンジニア,d,1.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスアナリシス,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
ビジネス変革,ビジネスモデル・プロセス,検証（ビジネス視点）,クラウドエンジニア/SRE,ソフトウェアエンジニア,d,1.0
ビジネス変革,ビジネスモデル・プロセス,マーケティング,クラウドエンジニア/SRE,ソフトウェアエンジニア,d,1.0
ビジネス変革,ビジネスモデル・プロセス,ブランディング,クラウドエンジニア/SRE,ソフトウェアエンジニア,d,1.0
デザイン,デザイン,顧客・ユーザー理解,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
デザイン,デザイン,価値発見・定義,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
デザイン,デザイン,設計,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
デザイン,デザイン,検証（顧客・ユーザー視点）,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
デザイン,デザイン,その他デザイン技術,クラウドエンジニア/SRE,ソフトウェアエンジニア,d,1.0
データ活用,データ・AIの戦略的活用,データ理解・活用,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用戦略,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
データ活用,データ・AIの戦略的活用,データ・AI活用業務の設計・事業実装・評価,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
データ活用,AI・データサイエンス,数理統計・多変量解析・データ可視化,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
データ活用,AI・データサイエンス,機械学習・深層学習,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
データ活用,データエンジニアリング,データ活用基盤設計,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
データ活用,データエンジニアリング,データ活用基盤実装・運用,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,コンピュータサイエンス,クラウドエンジニア/SRE,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,チーム開発,クラウドエンジニア/SRE,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,ソフトウェア設計手法,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,クラウドエンジニア/SRE,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,SREプロセス,クラウドエンジニア/SRE,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,サービス活用,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,クラウドエンジニア/SRE,ソフトウェアエンジニア,a,5.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
