response_id,respondent_id,timestamp,department,department_ja,role,role_ja,usage_frequency,usage_frequency_ja,incident_experience,vendor_id,vendor_name,performance_incident_response_speed,performance_sla_achievement,performance_problem_resolution,performance_communication_speed,performance_availability_maintenance,technical_expertise,technical_troubleshooting,technical_new_tech_adaptation,technical_documentation_quality,technical_proposal,business_process_understanding,business_impact_consideration,business_prioritization,business_stakeholder_management,business_cost_awareness,improvement_proposal_quality,improvement_proposal_frequency,improvement_proactive_attitude,improvement_innovation,improvement_long_term_perspective,comment,performance_incident_response_speed_z,performance_sla_achievement_z,performance_problem_resolution_z,performance_communication_speed_z,performance_availability_maintenance_z,technical_expertise_z,technical_troubleshooting_z,technical_new_tech_adaptation_z,technical_documentation_quality_z,technical_proposal_z,business_process_understanding_z,business_impact_consideration_z,business_prioritization_z,business_stakeholder_management_z,business_cost_awareness_z,improvement_proposal_quality_z,improvement_proposal_frequency_z,improvement_proactive_attitude_z,improvement_innovation_z,improvement_long_term_perspective_z,performance_incident_response_speed_z5,performance_sla_achievement_z5,performance_problem_resolution_z5,performance_communication_speed_z5,performance_availability_maintenance_z5,technical_expertise_z5,technical_troubleshooting_z5,technical_new_tech_adaptation_z5,technical_documentation_quality_z5,technical_proposal_z5,business_process_understanding_z5,business_impact_consideration_z5,business_prioritization_z5,business_stakeholder_management_z5,business_cost_awareness_z5,improvement_proposal_quality_z5,improvement_proposal_frequency_z5,improvement_proactive_attitude_z5,improvement_innovation_z5,improvement_long_term_perspective_z5
1,1,2025-11-14 00:15:39,logistics,物流部門,specialist,スペシャリスト,high,高頻度,True,A,A社,4,3,1,4,3,2,2,5,4,4,2,3,2,3,3,1,3,4,4,2,,-0.26111648393354675,-0.5,-1.5,0.2886751345948129,0.0,1.5,-0.1986798535597566,1.390758974918296,0.1986798535597566,0.7833494518006404,0.0,0.14638501094227999,0.0,-1.5,0.0,-1.3174650984805198,0.0,1.1666666666666667,0.8333333333333334,-0.1986798535597566,2.6518446880886044,2.3333333333333335,1.0000000000000007,3.38490017945975,3.0,5.0,2.7350935285869915,4.85434529989106,3.2649064714130085,4.044465935734187,3.0,3.1951800145897065,3.0,1.0000000000000007,3.0,1.2433798686926407,3.0,4.555555555555555,4.111111111111111,2.7350935285869915
2,1,2025-11-17 03:29:39,logistics,物流部門,specialist,スペシャリスト,high,高頻度,True,B,B社,5,5,5,1,4,1,4,3,4,4,3,5,4,5,3,3,4,1,4,4,,0.7833494518006403,0.8333333333333334,0.5,-1.4433756729740645,1.224744871391589,-0.5,1.390758974918296,-0.1986798535597566,0.1986798535597566,0.7833494518006404,1.224744871391589,1.3174650984805198,1.414213562373095,0.5,0.0,-0.14638501094227999,1.224744871391589,-0.8333333333333334,0.8333333333333334,1.390758974918296,4.044465935734187,4.111111111111111,3.6666666666666665,1.075499102701248,4.632993161855452,2.3333333333333335,4.85434529989106,2.7350935285869915,3.2649064714130085,4.044465935734187,4.632993161855452,4.7566201313073595,4.885618083164125,3.6666666666666665,3.0,2.8048199854102935,4.632993161855452,1.8888888888888893,4.111111111111111,4.85434529989106
3,1,2025-11-01 02:01:39,logistics,物流部門,specialist,スペシャリスト,high,高頻度,True,C,C社,3,2,5,4,3,1,2,3,2,3,1,2,1,5,5,4,3,1,1,2,コミュニケーションが取りやすく、信頼できるパートナーです。,-1.3055824196677337,-1.1666666666666667,0.5,0.2886751345948129,0.0,-0.5,-0.1986798535597566,-0.1986798535597566,-1.390758974918296,-0.2611164839335468,-1.224744871391589,-0.43915503282683993,-0.7071067811865475,0.5,1.224744871391589,0.43915503282683993,0.0,-0.8333333333333334,-1.1666666666666667,-0.1986798535597566,1.2592234404430223,1.4444444444444449,3.6666666666666665,3.38490017945975,3.0,2.3333333333333335,2.7350935285869915,2.7350935285869915,1.1456547001089392,2.6518446880886044,1.3670068381445486,2.41445995623088,2.0571909584179373,3.6666666666666665,4.632993161855452,3.58554004376912,3.0,1.8888888888888893,1.4444444444444449,2.7350935285869915
4,1,2025-10-28 10:01:39,logistics,物流部門,specialist,スペシャリスト,high,高頻度,True,D,D社,5,5,5,5,2,1,1,2,5,2,2,1,1,5,1,5,2,3,2,1,,0.7833494518006403,0.8333333333333334,0.5,0.8660254037844387,-1.224744871391589,-0.5,-0.9933992677987828,-0.9933992677987828,0.9933992677987828,-1.305582419667734,0.0,-1.02469507659596,-0.7071067811865475,0.5,-1.224744871391589,1.02469507659596,-1.224744871391589,0.5,-0.5,-0.9933992677987828,4.044465935734187,4.111111111111111,3.6666666666666665,4.1547005383792515,1.3670068381445486,2.3333333333333335,1.6754676429349566,1.6754676429349566,4.324532357065044,1.259223440443022,3.0,1.6337398978720539,2.0571909584179373,3.6666666666666665,1.3670068381445486,4.366260102127946,1.3670068381445486,3.6666666666666665,2.3333333333333335,1.6754676429349566
5,2,2025-11-22 07:19:39,business,業務部門,staff,一般社員,medium,中頻度,False,A,A社,5,2,5,3,1,3,2,4,2,3,1,1,5,1,2,5,5,5,3,4,技術的な知識が豊富で、安心して任せられます。,1.390758974918296,-1.224744871391589,0.8333333333333334,0.3872983346207417,-0.5,-1.3055824196677337,-0.8660254037844387,0.13206763594884358,-0.8333333333333334,-0.26111648393354675,-0.5,-0.8333333333333334,0.8660254037844387,-0.5,-0.9933992677987828,0.8660254037844387,0.7833494518006402,1.0954451150103321,0.8660254037844387,0.8660254037844387,4.85434529989106,1.3670068381445486,4.111111111111111,3.516397779494322,2.3333333333333335,1.2592234404430223,1.8452994616207488,3.1760901812651245,1.8888888888888893,2.6518446880886044,2.3333333333333335,1.8888888888888893,4.1547005383792515,2.3333333333333335,1.6754676429349566,4.1547005383792515,4.044465935734187,4.460593486680443,4.1547005383792515,4.1547005383792515
6,2,2025-11-12 05:16:39,business,業務部門,staff,一般社員,medium,中頻度,False,B,B社,2,3,2,4,1,5,4,1,4,1,1,1,5,1,3,5,5,4,1,1,,-0.9933992677987828,0.0,-1.1666666666666667,1.161895003862225,-0.5,0.7833494518006403,0.8660254037844387,-1.4527439954372794,0.5,-1.3055824196677337,-0.5,-0.8333333333333334,0.8660254037844387,-0.5,-0.1986798535597566,0.8660254037844387,0.7833494518006402,0.5477225575051661,-0.8660254037844387,-0.8660254037844387,1.6754676429349566,3.0,1.4444444444444449,4.549193338482967,2.3333333333333335,4.044465935734187,4.1547005383792515,1.063008006083628,3.6666666666666665,1.2592234404430223,2.3333333333333335,1.8888888888888893,4.1547005383792515,2.3333333333333335,2.7350935285869915,4.1547005383792515,4.044465935734187,3.7302967433402214,1.8452994616207488,1.8452994616207488
7,2,2025-10-25 00:27:39,business,業務部門,staff,一般社員,medium,中頻度,False,C,C社,3,3,3,2,1,5,2,5,2,5,3,4,1,1,3,3,4,1,1,1,,-0.1986798535597566,0.0,-0.5,-0.3872983346207417,-0.5,0.7833494518006403,-0.8660254037844387,0.6603381797442178,-0.8333333333333334,0.7833494518006403,1.5,1.1666666666666667,-0.8660254037844387,-0.5,-0.1986798535597566,-0.8660254037844387,-0.26111648393354675,-1.0954451150103321,-0.8660254037844387,-0.8660254037844387,2.7350935285869915,3.0,2.3333333333333335,2.483602220505678,2.3333333333333335,4.044465935734187,1.8452994616207488,3.880450906325623,1.8888888888888893,4.044465935734187,5.0,4.555555555555555,1.8452994616207488,2.3333333333333335,2.7350935285869915,1.8452994616207488,2.6518446880886044,1.5394065133195576,1.8452994616207488,1.8452994616207488
8,2,2025-11-01 07:52:39,business,業務部門,staff,一般社員,medium,中頻度,False,D,D社,3,4,5,1,5,4,4,5,5,5,1,3,1,3,5,3,3,2,3,4,,-0.1986798535597566,1.224744871391589,0.8333333333333334,-1.161895003862225,1.5,-0.26111648393354675,0.8660254037844387,0.6603381797442178,1.1666666666666667,0.7833494518006403,-0.5,0.5,-0.8660254037844387,1.5,1.390758974918296,-0.8660254037844387,-1.3055824196677337,-0.5477225575051661,0.8660254037844387,0.8660254037844387,2.7350935285869915,4.632993161855452,4.111111111111111,1.4508066615170336,5.0,2.6518446880886044,4.1547005383792515,3.880450906325623,4.555555555555555,4.044465935734187,2.3333333333333335,3.6666666666666665,1.8452994616207488,5.0,4.85434529989106,1.8452994616207488,1.2592234404430223,2.2697032566597786,4.1547005383792515,4.1547005383792515
9,3,2025-10-25 07:26:39,business,業務部門,specialist,スペシャリスト,low,低頻度,True,A,A社,3,2,5,2,5,1,5,1,5,5,5,4,5,1,2,2,4,2,2,4,,-0.7833494518006403,-0.8660254037844387,1.02469507659596,-0.1986798535597566,0.8333333333333334,-1.224744871391589,1.5000000000000004,-1.02469507659596,1.0914103126634986,0.8660254037844387,1.4527439954372794,1.414213562373095,1.3174650984805198,-1.0914103126634984,-0.5,-0.2886751345948129,0.1986798535597566,-0.6063390625908325,-0.8333333333333334,0.5,1.9555340642658132,1.8452994616207488,4.366260102127946,2.7350935285869915,4.111111111111111,1.3670068381445486,5.0,1.6337398978720539,4.4552137502179985,4.1547005383792515,4.936991993916372,4.885618083164125,4.7566201313073595,1.5447862497820024,2.3333333333333335,2.61509982054025,3.2649064714130085,2.1915479165455567,1.8888888888888893,3.6666666666666665
10,3,2025-11-16 09:58:39,business,業務部門,specialist,スペシャリスト,low,低頻度,True,B,B社,5,4,4,2,2,3,4,5,4,4,2,1,1,5,2,2,2,5,5,2,,1.3055824196677337,0.8660254037844387,0.43915503282683993,-0.1986798535597566,-1.1666666666666667,1.224744871391589,-0.5000000000000001,1.3174650984805198,0.6063390625908326,-0.8660254037844387,-0.13206763594884358,-0.7071067811865475,-1.02469507659596,0.8488746876271654,-0.5,-0.2886751345948129,-1.390758974918296,0.8488746876271654,1.1666666666666667,-0.8333333333333334,4.740776559556978,4.1547005383792515,3.58554004376912,2.7350935285869915,1.4444444444444449,4.632993161855452,2.3333333333333335,4.7566201313073595,3.8084520834544433,1.8452994616207488,2.8239098187348755,2.0571909584179373,1.6337398978720539,4.1318329168362204,2.3333333333333335,2.61509982054025,1.1456547001089392,4.1318329168362204,4.555555555555555,1.8888888888888893
