カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,システムズエンジニアリング,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,エンタープライズアーキテクチャ,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロジェクトマネジメント,既存事業の高度化,ビジネスアーキテクト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネス調査,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスモデル設計,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスアナリシス,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,検証（ビジネス視点）,既存事業の高度化,ビジネスアーキテクト,a,5.0
ビジネス変革,ビジネスモデル・プロセス,マーケティング,既存事業の高度化,ビジネスアーキテクト,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ブランディング,既存事業の高度化,ビジネスアーキテクト,b,3.0
デザイン,デザイン,顧客・ユーザー理解,既存事業の高度化,ビジネスアーキテクト,b,3.0
デザイン,デザイン,価値発見・定義,既存事業の高度化,ビジネスアーキテクト,b,3.0
デザイン,デザイン,設計,既存事業の高度化,ビジネスアーキテクト,d,1.0
デザイン,デザイン,検証（顧客・ユーザー視点）,既存事業の高度化,ビジネスアーキテクト,c,2.0
デザイン,デザイン,その他デザイン技術,既存事業の高度化,ビジネスアーキテクト,d,1.0
データ活用,データ・AIの戦略的活用,データ理解・活用,既存事業の高度化,ビジネスアーキテクト,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用戦略,既存事業の高度化,ビジネスアーキテクト,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用業務の設計・事業実装・評価,既存事業の高度化,ビジネスアーキテクト,c,2.0
データ活用,AI・データサイエンス,数理統計・多変量解析・データ可視化,既存事業の高度化,ビジネスアーキテクト,d,1.0
データ活用,AI・データサイエンス,機械学習・深層学習,既存事業の高度化,ビジネスアーキテクト,d,1.0
データ活用,データエンジニアリング,データ活用基盤設計,既存事業の高度化,ビジネスアーキテクト,d,1.0
データ活用,データエンジニアリング,データ活用基盤実装・運用,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,コンピュータサイエンス,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,チーム開発,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,ソフトウェア設計手法,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,既存事業の高度化,ビジネスアーキテクト,c,2.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,SREプロセス,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,サービス活用,既存事業の高度化,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,既存事業の高度化,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,既存事業の高度化,ビジネスアーキテクト,d,1.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,既存事業の高度化,ビジネスアーキテクト,z,2.5
