respondent_id,department,department_ja,role,role_ja,usage_frequency,usage_frequency_ja,incident_experience
1,logistics,物流部門,specialist,スペシャリスト,high,高頻度,True
2,business,業務部門,staff,一般社員,medium,中頻度,False
3,business,業務部門,specialist,スペシャリスト,low,低頻度,True
4,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True
5,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True
6,it,IT部門,manager,マネージャー,low,低頻度,False
7,it,IT部門,specialist,スペシャリスト,medium,中頻度,True
8,it,IT部門,staff,一般社員,high,高頻度,True
9,logistics,物流部門,staff,一般社員,low,低頻度,True
10,business,業務部門,staff,一般社員,medium,中頻度,False
11,logistics,物流部門,leader,リーダー,high,高頻度,True
12,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True
13,sales,営業部門,staff,一般社員,low,低頻度,True
14,business,業務部門,leader,リーダー,high,高頻度,True
15,sales,営業部門,specialist,スペシャリスト,low,低頻度,False
16,hr,人事部門,specialist,スペシャリスト,medium,中頻度,True
17,business,業務部門,executive,役員,medium,中頻度,False
18,business,業務部門,specialist,スペシャリスト,high,高頻度,False
19,business,業務部門,executive,役員,high,高頻度,False
20,it,IT部門,manager,マネージャー,medium,中頻度,True
21,it,IT部門,manager,マネージャー,low,低頻度,False
22,sales,営業部門,leader,リーダー,medium,中頻度,True
23,sales,営業部門,executive,役員,medium,中頻度,False
24,business,業務部門,manager,マネージャー,medium,中頻度,False
25,sales,営業部門,manager,マネージャー,low,低頻度,False
26,it,IT部門,manager,マネージャー,low,低頻度,False
27,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,False
28,logistics,物流部門,executive,役員,high,高頻度,False
29,logistics,物流部門,manager,マネージャー,low,低頻度,False
30,sales,営業部門,executive,役員,medium,中頻度,False
31,hr,人事部門,staff,一般社員,medium,中頻度,True
32,it,IT部門,staff,一般社員,medium,中頻度,True
33,hr,人事部門,specialist,スペシャリスト,high,高頻度,False
34,sales,営業部門,staff,一般社員,low,低頻度,False
35,finance,経理財務部門,leader,リーダー,medium,中頻度,False
36,business,業務部門,executive,役員,low,低頻度,True
37,it,IT部門,manager,マネージャー,medium,中頻度,False
38,logistics,物流部門,leader,リーダー,medium,中頻度,True
39,hr,人事部門,leader,リーダー,low,低頻度,True
40,finance,経理財務部門,staff,一般社員,high,高頻度,True
41,finance,経理財務部門,executive,役員,high,高頻度,True
42,it,IT部門,manager,マネージャー,low,低頻度,True
43,it,IT部門,leader,リーダー,low,低頻度,False
44,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,False
45,business,業務部門,manager,マネージャー,medium,中頻度,False
46,business,業務部門,staff,一般社員,low,低頻度,False
47,hr,人事部門,executive,役員,low,低頻度,False
48,business,業務部門,specialist,スペシャリスト,low,低頻度,True
49,finance,経理財務部門,manager,マネージャー,high,高頻度,False
50,finance,経理財務部門,manager,マネージャー,high,高頻度,False
51,sales,営業部門,leader,リーダー,high,高頻度,True
52,finance,経理財務部門,manager,マネージャー,low,低頻度,False
53,business,業務部門,executive,役員,low,低頻度,True
54,logistics,物流部門,executive,役員,medium,中頻度,False
55,hr,人事部門,manager,マネージャー,high,高頻度,True
56,sales,営業部門,leader,リーダー,high,高頻度,False
57,business,業務部門,specialist,スペシャリスト,high,高頻度,False
58,hr,人事部門,specialist,スペシャリスト,high,高頻度,True
59,business,業務部門,leader,リーダー,low,低頻度,True
60,sales,営業部門,staff,一般社員,medium,中頻度,True
61,finance,経理財務部門,executive,役員,medium,中頻度,True
62,logistics,物流部門,staff,一般社員,medium,中頻度,True
63,sales,営業部門,leader,リーダー,low,低頻度,True
64,finance,経理財務部門,staff,一般社員,high,高頻度,True
65,sales,営業部門,leader,リーダー,low,低頻度,True
66,it,IT部門,specialist,スペシャリスト,high,高頻度,False
67,logistics,物流部門,specialist,スペシャリスト,low,低頻度,False
68,business,業務部門,staff,一般社員,medium,中頻度,True
69,business,業務部門,staff,一般社員,medium,中頻度,False
70,logistics,物流部門,executive,役員,medium,中頻度,False
71,it,IT部門,specialist,スペシャリスト,medium,中頻度,False
72,finance,経理財務部門,executive,役員,high,高頻度,False
73,business,業務部門,staff,一般社員,low,低頻度,True
74,it,IT部門,leader,リーダー,high,高頻度,False
75,business,業務部門,specialist,スペシャリスト,low,低頻度,True
76,hr,人事部門,leader,リーダー,medium,中頻度,False
77,finance,経理財務部門,executive,役員,medium,中頻度,False
78,hr,人事部門,executive,役員,medium,中頻度,False
79,logistics,物流部門,manager,マネージャー,low,低頻度,True
80,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,False
81,it,IT部門,specialist,スペシャリスト,high,高頻度,True
82,finance,経理財務部門,executive,役員,high,高頻度,False
83,finance,経理財務部門,leader,リーダー,high,高頻度,True
84,it,IT部門,specialist,スペシャリスト,low,低頻度,False
85,logistics,物流部門,executive,役員,high,高頻度,True
86,finance,経理財務部門,manager,マネージャー,medium,中頻度,True
87,logistics,物流部門,staff,一般社員,low,低頻度,False
88,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True
89,logistics,物流部門,staff,一般社員,low,低頻度,False
90,business,業務部門,leader,リーダー,high,高頻度,False
91,sales,営業部門,manager,マネージャー,medium,中頻度,False
92,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,False
93,it,IT部門,staff,一般社員,low,低頻度,False
94,sales,営業部門,staff,一般社員,medium,中頻度,False
95,logistics,物流部門,executive,役員,high,高頻度,False
96,it,IT部門,staff,一般社員,low,低頻度,False
97,it,IT部門,leader,リーダー,medium,中頻度,False
98,hr,人事部門,staff,一般社員,low,低頻度,False
99,hr,人事部門,leader,リーダー,medium,中頻度,False
100,finance,経理財務部門,leader,リーダー,high,高頻度,True
101,logistics,物流部門,executive,役員,high,高頻度,True
