カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,システムズエンジニアリング,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,エンタープライズアーキテクチャ,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,戦略・マネジメント・システム,プロジェクトマネジメント,UX/UIデザイナー,デザイナー,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネス調査,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスモデル設計,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスアナリシス,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,ビジネスモデル・プロセス,検証（ビジネス視点）,UX/UIデザイナー,デザイナー,a,5.0
ビジネス変革,ビジネスモデル・プロセス,マーケティング,UX/UIデザイナー,デザイナー,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ブランディング,UX/UIデザイナー,デザイナー,b,3.0
デザイン,デザイン,顧客・ユーザー理解,UX/UIデザイナー,デザイナー,a,5.0
デザイン,デザイン,価値発見・定義,UX/UIデザイナー,デザイナー,a,5.0
デザイン,デザイン,設計,UX/UIデザイナー,デザイナー,a,5.0
デザイン,デザイン,検証（顧客・ユーザー視点）,UX/UIデザイナー,デザイナー,a,5.0
デザイン,デザイン,その他デザイン技術,UX/UIデザイナー,デザイナー,c,2.0
データ活用,データ・AIの戦略的活用,データ理解・活用,UX/UIデザイナー,デザイナー,d,1.0
データ活用,データ・AIの戦略的活用,データ・AI活用戦略,UX/UIデザイナー,デザイナー,d,1.0
データ活用,データ・AIの戦略的活用,データ・AI活用業務の設計・事業実装・評価,UX/UIデザイナー,デザイナー,d,1.0
データ活用,AI・データサイエンス,数理統計・多変量解析・データ可視化,UX/UIデザイナー,デザイナー,d,1.0
データ活用,AI・データサイエンス,機械学習・深層学習,UX/UIデザイナー,デザイナー,d,1.0
データ活用,データエンジニアリング,データ活用基盤設計,UX/UIデザイナー,デザイナー,d,1.0
データ活用,データエンジニアリング,データ活用基盤実装・運用,UX/UIデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,コンピュータサイエンス,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,チーム開発,UX/UIデザイナー,デザイナー,b,3.0
テクノロジー,ソフトウェア開発,ソフトウェア設計手法,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,SREプロセス,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,サービス活用,UX/UIデザイナー,デザイナー,c,2.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,UX/UIデザイナー,デザイナー,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,UX/UIデザイナー,デザイナー,d,1.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,UX/UIデザイナー,デザイナー,z,2.5
