respondent_id,performance_incident_response_speed_mean,performance_incident_response_speed_std,performance_incident_response_speed_count,performance_sla_achievement_mean,performance_sla_achievement_std,performance_sla_achievement_count,performance_problem_resolution_mean,performance_problem_resolution_std,performance_problem_resolution_count,performance_communication_speed_mean,performance_communication_speed_std,performance_communication_speed_count,performance_availability_maintenance_mean,performance_availability_maintenance_std,performance_availability_maintenance_count,technical_expertise_mean,technical_expertise_std,technical_expertise_count,technical_troubleshooting_mean,technical_troubleshooting_std,technical_troubleshooting_count,technical_new_tech_adaptation_mean,technical_new_tech_adaptation_std,technical_new_tech_adaptation_count,technical_documentation_quality_mean,technical_documentation_quality_std,technical_documentation_quality_count,technical_proposal_mean,technical_proposal_std,technical_proposal_count,business_process_understanding_mean,business_process_understanding_std,business_process_understanding_count,business_impact_consideration_mean,business_impact_consideration_std,business_impact_consideration_count,business_prioritization_mean,business_prioritization_std,business_prioritization_count,business_stakeholder_management_mean,business_stakeholder_management_std,business_stakeholder_management_count,business_cost_awareness_mean,business_cost_awareness_std,business_cost_awareness_count,improvement_proposal_quality_mean,improvement_proposal_quality_std,improvement_proposal_quality_count,improvement_proposal_frequency_mean,improvement_proposal_frequency_std,improvement_proposal_frequency_count,improvement_proactive_attitude_mean,improvement_proactive_attitude_std,improvement_proactive_attitude_count,improvement_innovation_mean,improvement_innovation_std,improvement_innovation_count,improvement_long_term_perspective_mean,improvement_long_term_perspective_std,improvement_long_term_perspective_count,avg_score,std_score,extreme_usage,median_usage,count,flag_zero_std,flag_extreme,is_anomaly
1,4.25,0.9574271077563381,4,3.75,1.5,4,4.0,2.0,4,3.5,1.7320508075688772,4,3.0,0.816496580927726,4,1.25,0.5,4,2.25,1.2583057392117916,4,3.25,1.2583057392117916,4,3.75,1.2583057392117916,4,3.25,0.957427107756338,4,2.0,0.816496580927726,4,2.75,1.707825127659933,4,2.0,1.4142135623730951,4,4.5,1.0,4,3.0,1.632993161855452,4,3.25,1.707825127659933,4,3.0,0.816496580927726,4,2.25,1.5,4,2.75,1.5,4,2.25,1.2583057392117916,4,3.0,1.2796237351130157,0.4,0.2,4,False,False,False
2,3.25,1.2583057392117916,4,3.0,0.816496580927726,4,3.75,1.5,4,2.5,1.2909944487358056,4,2.0,2.0,4,4.25,0.9574271077563381,4,3.0,1.1547005383792515,4,3.75,1.8929694486000912,4,3.25,1.5,4,3.5,1.9148542155126762,4,1.5,1.0,4,2.25,1.5,4,3.0,2.309401076758503,4,1.5,1.0,4,3.25,1.2583057392117916,4,4.0,1.1547005383792515,4,4.25,0.9574271077563382,4,3.0,1.8257418583505538,4,2.0,1.1547005383792515,4,2.5,1.7320508075688772,4,2.975,1.4089037872764125,0.5,0.225,4,False,False,False
3,3.75,0.9574271077563381,4,3.0,1.1547005383792515,4,3.25,1.707825127659933,4,2.25,1.2583057392117916,4,3.75,1.5,4,2.0,0.816496580927726,4,4.25,0.4999999999999999,4,2.75,1.707825127659933,4,2.75,2.06155281280883,4,4.5,0.5773502691896257,4,2.25,1.8929694486000912,4,2.0,1.4142135623730951,4,2.75,1.707825127659933,4,3.25,2.0615528128088303,4,2.5,1.0,4,2.5,1.7320508075688772,4,3.75,1.2583057392117916,4,3.25,2.0615528128088303,4,3.25,1.5,4,3.25,1.5,4,3.05,1.4184976807312442,0.4125,0.0875,4,False,False,False
4,3.25,1.5,4,3.5,1.2909944487358056,4,3.5,1.0,4,2.25,0.9574271077563381,4,4.0,1.1547005383792515,4,2.5,1.7320508075688772,4,3.75,0.9574271077563381,4,1.75,0.5,4,3.5,0.5773502691896257,4,2.5,1.0,4,4.25,0.5,4,2.75,1.707825127659933,4,3.75,1.2583057392117916,4,3.0,1.4142135623730951,4,2.25,0.9574271077563381,4,2.75,1.5,4,3.0,1.8257418583505538,4,2.5,1.2909944487358056,4,4.5,0.9999999999999999,4,3.0,1.1547005383792515,4,3.1125,1.1639579330926504,0.3,0.2625,4,False,False,False
5,3.5,1.7320508075688772,4,2.0,0.816496580927726,4,3.0,1.8257418583505538,4,2.25,1.2583057392117916,4,3.0,1.8257418583505538,4,2.0,0.0,4,1.75,0.9574271077563381,4,2.0,1.4142135623730951,4,3.5,1.2909944487358054,4,2.25,1.2583057392117916,4,2.0,1.4142135623730951,4,2.5,1.2909944487358056,4,3.75,0.9574271077563381,4,3.0,1.632993161855452,4,2.75,1.707825127659933,4,4.5,0.5773502691896257,4,2.75,1.707825127659933,4,3.75,1.2583057392117916,4,2.75,1.5,4,4.75,0.4999999999999999,4,2.8875,1.2463106123464256,0.3875,0.125,4,False,False,False
6,3.0,1.8257418583505538,4,4.25,0.9574271077563381,4,1.75,0.9574271077563382,4,2.0,0.816496580927726,4,4.25,0.9574271077563381,4,2.25,1.8929694486000914,4,3.5,1.0,4,2.75,1.5,4,3.0,1.4142135623730951,4,2.75,1.707825127659933,4,2.5,1.2909944487358054,4,3.5,1.9148542155126762,4,2.75,1.707825127659933,4,3.5,0.5773502691896257,4,4.75,0.4999999999999999,4,2.75,1.707825127659933,4,2.5,1.2909944487358054,4,2.25,1.5,4,3.0,2.309401076758503,4,3.25,1.707825127659933,4,3.0125,1.3768298871546316,0.45,0.1875,4,False,False,False
7,2.25,0.9574271077563381,4,3.0,1.4142135623730951,4,3.25,0.9574271077563381,4,2.75,1.707825127659933,4,2.5,1.2909944487358056,4,3.0,0.816496580927726,4,5.0,0.0,4,2.75,2.0615528128088303,4,4.25,0.9574271077563381,4,3.25,1.5,4,3.75,1.2583057392117916,4,3.5,1.2909944487358054,4,2.75,2.0615528128088303,4,3.0,1.8257418583505538,4,1.75,0.9574271077563382,4,2.75,0.9574271077563381,4,2.25,0.9574271077563381,4,3.5,1.7320508075688772,4,3.0,1.8257418583505538,4,2.25,0.9574271077563381,4,3.025,1.2743729905913086,0.375,0.2,4,False,False,False
8,3.75,0.49999999999999994,4,2.25,1.8929694486000912,4,3.5,1.9148542155126762,4,3.75,1.5,4,2.5,1.7320508075688772,4,3.25,0.9574271077563381,4,2.0,1.4142135623730951,4,2.25,1.5,4,4.25,0.957427107756338,4,3.75,1.5,4,1.5,1.0,4,2.75,2.06155281280883,4,3.5,0.5773502691896257,4,3.25,1.5,4,3.25,1.707825127659933,4,3.25,2.0615528128088303,4,2.75,1.5,4,2.25,1.2583057392117916,4,3.5,1.9148542155126762,4,2.75,1.5000000000000002,4,3.0,1.4475191613379552,0.45,0.15,4,False,False,False
9,3.25,1.707825127659933,4,3.25,2.0615528128088303,4,2.5,1.2909944487358056,4,3.25,0.9574271077563381,4,3.0,1.1547005383792515,4,3.5,1.2909944487358056,4,3.25,2.0615528128088303,4,3.25,2.0615528128088303,4,4.0,0.816496580927726,4,3.25,1.707825127659933,4,3.0,1.4142135623730951,4,2.75,1.5,4,4.5,1.0,4,4.0,1.4142135623730951,4,4.75,0.5,4,3.0,1.8257418583505538,4,1.75,1.5,4,3.5,1.0,4,3.0,1.632993161855452,4,3.25,1.707825127659933,4,3.3,1.4302954545446709,0.4375,0.1375,4,False,False,False
10,2.75,1.707825127659933,4,3.5,1.2909944487358054,4,3.75,1.8929694486000914,4,2.75,1.5,4,3.75,1.2583057392117916,4,2.5,1.0,4,1.5,1.0,4,3.0,0.816496580927726,4,3.0,1.1547005383792515,4,2.25,1.8929694486000912,4,3.75,1.2583057392117916,4,2.5,1.7320508075688772,4,3.25,1.4999999999999998,4,3.25,2.0615528128088303,4,3.5,1.7320508075688772,4,3.25,1.707825127659933,4,3.25,2.0615528128088303,4,2.25,1.8929694486000912,4,2.75,2.0615528128088303,4,4.25,0.9574271077563381,4,3.0375,1.5239774404453548,0.4625,0.125,4,False,False,False
