response_id,respondent_id,timestamp,department,department_ja,role,role_ja,usage_frequency,usage_frequency_ja,incident_experience,vendor_id,vendor_name,performance_incident_response_speed,performance_sla_achievement,performance_problem_resolution,performance_communication_speed,performance_availability_maintenance,technical_expertise,technical_troubleshooting,technical_new_tech_adaptation,technical_documentation_quality,technical_proposal,business_process_understanding,business_impact_consideration,business_prioritization,business_stakeholder_management,business_cost_awareness,improvement_proposal_quality,improvement_proposal_frequency,improvement_proactive_attitude,improvement_innovation,improvement_long_term_perspective,comment
1,1,2025-11-14 00:15:39,logistics,物流部門,specialist,スペシャリスト,high,高頻度,True,A,A社,4,3,1,4,3,2,2,5,4,4,2,3,2,3,3,1,3,4,4,2,
2,1,2025-11-17 03:29:39,logistics,物流部門,specialist,スペシャリスト,high,高頻度,True,B,B社,5,5,5,1,4,1,4,3,4,4,3,5,4,5,3,3,4,1,4,4,
3,1,2025-11-01 02:01:39,logistics,物流部門,specialist,スペシャリスト,high,高頻度,True,C,C社,3,2,5,4,3,1,2,3,2,3,1,2,1,5,5,4,3,1,1,2,コミュニケーションが取りやすく、信頼できるパートナーです。
4,1,2025-10-28 10:01:39,logistics,物流部門,specialist,スペシャリスト,high,高頻度,True,D,D社,5,5,5,5,2,1,1,2,5,2,2,1,1,5,1,5,2,3,2,1,
5,2,2025-11-22 07:19:39,business,業務部門,staff,一般社員,medium,中頻度,False,A,A社,5,2,5,3,1,3,2,4,2,3,1,1,5,1,2,5,5,5,3,4,技術的な知識が豊富で、安心して任せられます。
6,2,2025-11-12 05:16:39,business,業務部門,staff,一般社員,medium,中頻度,False,B,B社,2,3,2,4,1,5,4,1,4,1,1,1,5,1,3,5,5,4,1,1,
7,2,2025-10-25 00:27:39,business,業務部門,staff,一般社員,medium,中頻度,False,C,C社,3,3,3,2,1,5,2,5,2,5,3,4,1,1,3,3,4,1,1,1,
8,2,2025-11-01 07:52:39,business,業務部門,staff,一般社員,medium,中頻度,False,D,D社,3,4,5,1,5,4,4,5,5,5,1,3,1,3,5,3,3,2,3,4,
9,3,2025-10-25 07:26:39,business,業務部門,specialist,スペシャリスト,low,低頻度,True,A,A社,3,2,5,2,5,1,5,1,5,5,5,4,5,1,2,2,4,2,2,4,
10,3,2025-11-16 09:58:39,business,業務部門,specialist,スペシャリスト,low,低頻度,True,B,B社,5,4,4,2,2,3,4,5,4,4,2,1,1,5,2,2,2,5,5,2,
11,3,2025-11-11 05:28:39,business,業務部門,specialist,スペシャリスト,low,低頻度,True,C,C社,4,2,3,4,3,2,4,2,1,5,1,1,3,5,4,5,4,1,4,2,
12,3,2025-11-08 08:31:39,business,業務部門,specialist,スペシャリスト,low,低頻度,True,D,D社,3,4,1,1,5,2,4,3,1,4,1,2,2,2,2,1,5,5,2,5,一部対応に遅れが見られることがあります。
13,4,2025-11-19 00:02:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,A,A社,5,3,3,3,3,4,5,2,3,1,4,2,5,3,2,4,4,1,5,2,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。
14,4,2025-11-19 01:58:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,B,B社,2,5,3,2,3,4,3,2,4,3,4,3,2,4,3,2,5,4,5,4,
15,4,2025-11-07 04:31:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,C,C社,4,4,3,1,5,1,4,2,3,3,5,5,4,1,1,4,1,2,3,2,
16,4,2025-10-29 03:02:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,D,D社,2,2,5,3,5,1,3,1,4,3,4,1,4,4,3,1,2,3,5,4,もう少しコストを抑えられると助かります。
17,5,2025-11-04 00:19:39,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True,A,A社,4,2,5,2,2,2,1,4,5,4,1,2,3,1,5,5,2,5,4,5,今後も継続して利用したいと思います。
18,5,2025-11-06 00:36:39,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True,B,B社,5,3,2,1,4,2,2,1,4,2,1,3,4,3,2,4,5,4,1,4,
19,5,2025-11-21 04:52:39,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True,C,C社,1,2,1,4,1,2,3,1,2,2,2,4,5,3,1,5,1,2,2,5,
20,5,2025-11-02 00:00:39,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True,D,D社,4,1,4,2,5,2,1,2,3,1,4,1,3,5,3,4,3,4,4,5,
21,6,2025-11-08 07:21:39,it,IT部門,manager,マネージャー,low,低頻度,False,A,A社,2,5,3,2,5,5,2,4,4,2,3,5,3,3,4,1,4,3,5,5,
22,6,2025-11-23 05:19:39,it,IT部門,manager,マネージャー,low,低頻度,False,B,B社,5,4,1,1,3,1,4,1,3,1,4,3,5,4,5,2,3,1,1,1,
23,6,2025-11-11 04:07:39,it,IT部門,manager,マネージャー,low,低頻度,False,C,C社,4,5,1,2,4,1,4,4,4,5,1,5,1,4,5,3,1,1,1,3,改善提案が的確で、ビジネスに貢献してくれています。
24,6,2025-11-14 09:10:39,it,IT部門,manager,マネージャー,low,低頻度,False,D,D社,1,3,2,3,5,2,4,2,1,3,2,1,2,3,5,5,2,4,5,4,一部対応に遅れが見られることがあります。
25,7,2025-11-21 04:50:39,it,IT部門,specialist,スペシャリスト,medium,中頻度,True,A,A社,1,4,4,2,4,3,5,1,3,4,4,3,5,4,3,2,3,4,4,2,もう少しコストを抑えられると助かります。
26,7,2025-10-31 00:16:39,it,IT部門,specialist,スペシャリスト,medium,中頻度,True,B,B社,3,4,3,5,1,2,5,4,5,1,2,2,1,1,1,4,1,5,5,3,
27,7,2025-11-15 03:03:39,it,IT部門,specialist,スペシャリスト,medium,中頻度,True,C,C社,3,1,4,3,3,4,5,5,5,4,4,5,1,2,1,2,2,4,2,3,一部対応に遅れが見られることがあります。
28,7,2025-11-03 01:08:39,it,IT部門,specialist,スペシャリスト,medium,中頻度,True,D,D社,2,3,2,1,2,3,5,1,4,4,5,4,4,5,2,3,3,1,1,1,
29,8,2025-11-01 00:38:39,it,IT部門,staff,一般社員,high,高頻度,True,A,A社,4,2,5,3,1,4,1,1,5,3,1,4,3,2,1,5,2,4,3,4,
30,8,2025-11-02 06:54:39,it,IT部門,staff,一般社員,high,高頻度,True,B,B社,4,1,1,5,4,3,1,1,5,5,1,5,3,4,4,5,5,2,1,4,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。
31,8,2025-11-20 04:24:39,it,IT部門,staff,一般社員,high,高頻度,True,C,C社,3,1,3,5,4,4,4,4,3,5,3,1,4,5,5,2,2,2,5,2,
32,8,2025-11-05 04:27:39,it,IT部門,staff,一般社員,high,高頻度,True,D,D社,4,5,5,2,1,2,2,3,4,2,1,1,4,2,3,1,2,1,5,1,
33,9,2025-11-15 03:58:39,logistics,物流部門,staff,一般社員,low,低頻度,True,A,A社,4,5,2,2,4,2,5,1,3,5,3,1,3,2,5,4,1,4,3,3,
34,9,2025-11-23 09:55:39,logistics,物流部門,staff,一般社員,low,低頻度,True,B,B社,1,5,4,4,2,3,2,5,4,3,1,4,5,4,5,2,1,4,3,4,コミュニケーションが取りやすく、信頼できるパートナーです。
35,9,2025-10-27 08:54:39,logistics,物流部門,staff,一般社員,low,低頻度,True,C,C社,3,1,1,3,2,4,1,5,5,4,4,4,5,5,4,1,4,4,1,1,
36,9,2025-10-30 08:00:39,logistics,物流部門,staff,一般社員,low,低頻度,True,D,D社,5,2,3,4,4,5,5,2,4,1,4,2,5,5,5,5,1,2,5,5,
37,10,2025-11-01 01:43:39,business,業務部門,staff,一般社員,medium,中頻度,False,A,A社,3,4,5,5,4,3,1,3,4,1,5,1,5,2,5,4,5,1,1,4,コミュニケーションが取りやすく、信頼できるパートナーです。
38,10,2025-11-06 04:13:39,business,業務部門,staff,一般社員,medium,中頻度,False,B,B社,5,5,5,2,2,3,1,3,2,5,4,4,4,5,4,5,5,5,4,3,
39,10,2025-11-14 07:28:39,business,業務部門,staff,一般社員,medium,中頻度,False,C,C社,1,2,1,2,4,1,3,4,4,2,2,4,2,5,4,3,2,2,5,5,
40,10,2025-11-15 05:07:39,business,業務部門,staff,一般社員,medium,中頻度,False,D,D社,2,3,4,2,5,3,1,2,2,1,4,1,2,1,1,1,1,1,1,5,全体的に満足していますが、ドキュメントの質を向上してほしいです。
41,11,2025-11-17 23:28:39,logistics,物流部門,leader,リーダー,high,高頻度,True,A,A社,4,5,2,1,3,5,4,4,3,2,3,1,3,4,5,3,4,1,5,5,
42,11,2025-11-20 00:05:39,logistics,物流部門,leader,リーダー,high,高頻度,True,B,B社,1,4,4,5,5,2,1,2,2,1,5,4,2,4,2,3,1,5,5,3,
43,11,2025-11-04 05:31:39,logistics,物流部門,leader,リーダー,high,高頻度,True,C,C社,4,3,4,2,4,4,5,3,3,2,2,5,5,1,2,3,4,3,2,1,コミュニケーションが取りやすく、信頼できるパートナーです。
44,11,2025-10-27 03:12:39,logistics,物流部門,leader,リーダー,high,高頻度,True,D,D社,2,3,4,5,4,1,4,4,4,2,2,4,4,2,2,1,2,5,1,4,
45,12,2025-11-24 09:10:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,A,A社,2,4,1,2,3,4,1,2,3,4,1,2,5,3,4,4,5,5,5,1,
46,12,2025-11-16 04:27:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,B,B社,1,5,1,3,4,2,4,3,5,3,3,3,1,2,5,5,1,1,3,3,
47,12,2025-11-14 06:39:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,C,C社,2,1,2,5,3,3,1,3,4,1,4,1,4,1,1,4,1,3,3,2,
48,12,2025-11-22 09:43:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,D,D社,5,4,4,4,2,5,4,1,2,5,4,2,1,5,5,4,5,3,2,4,
49,13,2025-10-29 03:22:39,sales,営業部門,staff,一般社員,low,低頻度,True,A,A社,2,4,1,1,3,1,2,4,1,3,1,5,1,1,2,4,5,4,5,4,改善提案が的確で、ビジネスに貢献してくれています。
50,13,2025-11-01 07:48:39,sales,営業部門,staff,一般社員,low,低頻度,True,B,B社,4,4,2,4,3,5,3,1,4,4,4,3,3,4,3,5,3,5,1,2,
51,13,2025-11-02 08:41:39,sales,営業部門,staff,一般社員,low,低頻度,True,C,C社,4,3,2,5,5,5,4,3,5,4,2,4,1,5,2,5,3,5,1,5,
52,13,2025-11-22 08:39:39,sales,営業部門,staff,一般社員,low,低頻度,True,D,D社,4,2,4,2,4,5,5,4,3,4,4,1,2,2,4,1,3,3,3,4,技術的な知識が豊富で、安心して任せられます。
53,14,2025-11-05 02:22:39,business,業務部門,leader,リーダー,high,高頻度,True,A,A社,4,1,3,5,2,5,3,4,2,5,4,4,2,5,5,2,5,3,4,4,
54,14,2025-11-10 06:19:39,business,業務部門,leader,リーダー,high,高頻度,True,B,B社,5,5,4,1,1,2,3,5,2,1,2,2,1,4,4,5,3,3,5,4,
55,14,2025-11-18 00:09:39,business,業務部門,leader,リーダー,high,高頻度,True,C,C社,3,5,3,5,3,5,1,2,5,1,3,1,3,1,1,5,1,1,2,3,もう少しコストを抑えられると助かります。
56,14,2025-10-28 01:54:39,business,業務部門,leader,リーダー,high,高頻度,True,D,D社,1,2,2,2,1,5,4,5,5,2,3,4,1,2,5,2,5,1,2,2,改善提案が的確で、ビジネスに貢献してくれています。
57,15,2025-10-30 09:41:39,sales,営業部門,specialist,スペシャリスト,low,低頻度,False,A,A社,4,4,1,4,4,2,3,5,4,2,2,1,4,3,5,5,1,1,5,4,今後も継続して利用したいと思います。
58,15,2025-11-13 00:38:39,sales,営業部門,specialist,スペシャリスト,low,低頻度,False,B,B社,2,1,5,3,3,4,5,3,1,2,2,2,4,3,5,4,5,5,5,2,今後も継続して利用したいと思います。
59,15,2025-11-06 08:43:39,sales,営業部門,specialist,スペシャリスト,low,低頻度,False,C,C社,4,5,2,4,1,2,5,2,1,5,5,4,4,1,3,5,2,3,2,5,全体的に満足していますが、ドキュメントの質を向上してほしいです。
60,15,2025-11-10 03:49:39,sales,営業部門,specialist,スペシャリスト,low,低頻度,False,D,D社,2,5,1,2,5,3,5,5,3,3,5,3,4,2,5,1,1,1,2,4,
61,16,2025-11-20 23:57:39,hr,人事部門,specialist,スペシャリスト,medium,中頻度,True,A,A社,2,4,2,2,1,2,1,5,2,1,4,5,1,2,3,5,5,4,1,1,今後も継続して利用したいと思います。
62,16,2025-11-17 00:57:39,hr,人事部門,specialist,スペシャリスト,medium,中頻度,True,B,B社,4,2,4,1,5,4,2,4,4,2,4,4,5,5,5,2,4,3,2,1,全体的に満足していますが、ドキュメントの質を向上してほしいです。
63,16,2025-11-22 08:02:39,hr,人事部門,specialist,スペシャリスト,medium,中頻度,True,C,C社,5,1,3,5,2,3,4,3,2,5,5,1,5,1,2,4,5,3,3,1,
64,16,2025-11-02 09:35:39,hr,人事部門,specialist,スペシャリスト,medium,中頻度,True,D,D社,2,2,2,5,4,3,3,5,4,5,4,4,4,5,1,2,2,3,2,1,
65,17,2025-10-28 03:41:39,business,業務部門,executive,役員,medium,中頻度,False,A,A社,2,2,1,4,1,1,4,2,5,2,3,1,3,1,5,5,5,1,2,3,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。
66,17,2025-10-30 06:14:39,business,業務部門,executive,役員,medium,中頻度,False,B,B社,4,1,4,3,3,5,3,1,3,4,3,2,3,4,4,5,2,2,3,5,
67,17,2025-11-24 03:46:39,business,業務部門,executive,役員,medium,中頻度,False,C,C社,2,1,5,3,4,3,1,1,5,4,1,5,1,1,2,1,3,4,3,4,
68,17,2025-11-18 01:46:39,business,業務部門,executive,役員,medium,中頻度,False,D,D社,2,5,4,1,1,3,4,3,2,4,5,1,5,5,4,4,1,4,5,5,
69,18,2025-11-23 01:09:39,business,業務部門,specialist,スペシャリスト,high,高頻度,False,A,A社,4,5,3,2,3,4,1,1,3,2,3,4,1,2,4,5,2,2,2,1,技術的な知識が豊富で、安心して任せられます。
70,18,2025-11-14 04:07:39,business,業務部門,specialist,スペシャリスト,high,高頻度,False,B,B社,4,1,4,1,3,3,1,4,4,5,1,2,2,1,3,1,4,4,3,5,
71,18,2025-11-14 07:52:39,business,業務部門,specialist,スペシャリスト,high,高頻度,False,C,C社,1,3,5,5,3,4,4,4,4,5,2,3,4,2,1,1,1,1,1,5,
72,18,2025-10-31 01:37:39,business,業務部門,specialist,スペシャリスト,high,高頻度,False,D,D社,5,5,1,2,3,5,4,2,3,1,3,4,2,4,4,2,5,3,4,3,
73,19,2025-11-18 01:48:39,business,業務部門,executive,役員,high,高頻度,False,A,A社,5,3,2,1,1,1,3,3,5,4,1,5,2,3,2,4,5,2,3,1,
74,19,2025-11-24 08:12:39,business,業務部門,executive,役員,high,高頻度,False,B,B社,2,1,3,4,2,1,5,3,3,2,4,2,3,3,1,3,2,3,4,2,
75,19,2025-10-25 08:34:39,business,業務部門,executive,役員,high,高頻度,False,C,C社,5,5,5,5,5,5,1,1,5,1,1,4,5,5,2,1,4,4,2,5,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。
76,19,2025-11-08 23:21:39,business,業務部門,executive,役員,high,高頻度,False,D,D社,2,2,3,3,5,5,2,5,3,5,3,1,4,1,4,3,2,5,1,5,
77,20,2025-11-23 05:10:39,it,IT部門,manager,マネージャー,medium,中頻度,True,A,A社,1,1,4,1,5,2,3,5,5,1,4,1,1,4,1,2,4,4,1,1,
78,20,2025-11-20 03:29:39,it,IT部門,manager,マネージャー,medium,中頻度,True,B,B社,4,4,3,5,2,3,3,5,1,4,4,1,4,4,5,1,2,4,5,3,
79,20,2025-10-26 03:10:39,it,IT部門,manager,マネージャー,medium,中頻度,True,C,C社,4,3,5,5,3,3,5,2,3,3,1,4,1,2,4,4,3,2,5,4,もう少しコストを抑えられると助かります。
80,20,2025-11-12 00:19:39,it,IT部門,manager,マネージャー,medium,中頻度,True,D,D社,4,1,2,3,3,3,5,3,5,4,1,5,1,5,4,3,3,3,2,1,今後も継続して利用したいと思います。
81,21,2025-11-17 07:06:39,it,IT部門,manager,マネージャー,low,低頻度,False,A,A社,5,1,2,3,4,4,1,1,2,4,3,1,5,4,3,4,3,2,3,4,
82,21,2025-10-27 08:03:39,it,IT部門,manager,マネージャー,low,低頻度,False,B,B社,1,5,3,3,5,2,3,2,2,2,4,4,2,1,2,3,2,1,1,2,もう少しコストを抑えられると助かります。
83,21,2025-10-29 01:56:39,it,IT部門,manager,マネージャー,low,低頻度,False,C,C社,5,5,1,1,5,3,3,4,3,3,5,4,1,4,5,2,1,3,2,4,改善提案が的確で、ビジネスに貢献してくれています。
84,21,2025-11-09 07:24:39,it,IT部門,manager,マネージャー,low,低頻度,False,D,D社,5,5,3,3,3,4,2,4,3,3,1,5,5,3,1,1,5,1,2,5,
85,22,2025-11-02 08:09:39,sales,営業部門,leader,リーダー,medium,中頻度,True,A,A社,1,4,4,4,5,4,1,4,4,3,5,2,2,5,4,1,1,1,3,3,
86,22,2025-11-13 05:27:39,sales,営業部門,leader,リーダー,medium,中頻度,True,B,B社,1,5,2,5,3,1,1,3,5,5,5,2,2,2,4,2,5,2,1,2,
87,22,2025-11-23 08:02:39,sales,営業部門,leader,リーダー,medium,中頻度,True,C,C社,1,1,2,3,3,4,5,4,3,1,4,4,4,1,5,5,4,4,1,3,
88,22,2025-11-17 02:59:39,sales,営業部門,leader,リーダー,medium,中頻度,True,D,D社,1,5,2,5,3,5,1,5,2,5,3,2,4,3,4,3,3,5,1,3,
89,23,2025-11-03 05:56:39,sales,営業部門,executive,役員,medium,中頻度,False,A,A社,4,2,1,2,1,4,2,4,2,3,5,3,4,4,2,3,3,4,5,4,一部対応に遅れが見られることがあります。
90,23,2025-11-14 04:42:39,sales,営業部門,executive,役員,medium,中頻度,False,B,B社,3,5,1,2,1,5,1,2,2,2,3,5,3,5,1,5,5,4,1,3,
91,23,2025-11-22 07:42:39,sales,営業部門,executive,役員,medium,中頻度,False,C,C社,3,4,5,3,1,5,4,4,5,4,1,4,2,5,5,2,3,3,4,2,
92,23,2025-10-28 02:28:39,sales,営業部門,executive,役員,medium,中頻度,False,D,D社,1,2,3,5,1,1,4,5,1,4,4,2,3,1,5,4,1,2,3,3,コミュニケーションが取りやすく、信頼できるパートナーです。
93,24,2025-10-27 04:15:39,business,業務部門,manager,マネージャー,medium,中頻度,False,A,A社,3,1,3,2,2,1,2,4,3,5,2,2,4,2,3,4,2,3,1,2,
94,24,2025-11-12 07:28:39,business,業務部門,manager,マネージャー,medium,中頻度,False,B,B社,3,1,4,3,4,4,5,1,1,5,4,5,5,3,1,2,3,5,3,5,
95,24,2025-11-12 02:14:39,business,業務部門,manager,マネージャー,medium,中頻度,False,C,C社,1,3,2,5,4,1,3,5,5,2,2,1,4,2,5,4,3,2,3,5,
96,24,2025-10-27 09:17:39,business,業務部門,manager,マネージャー,medium,中頻度,False,D,D社,3,2,1,3,3,1,1,3,3,4,1,2,1,1,4,2,4,4,4,4,
97,25,2025-11-01 01:11:39,sales,営業部門,manager,マネージャー,low,低頻度,False,A,A社,5,3,4,5,5,3,5,4,4,5,3,5,5,1,1,3,2,1,1,1,
