案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期
PRJ0001,既存会計システム刷新プロジェクト,2025/09,2026/02,77000,12000,2027/12/08
PRJ0002,統合販売管理システム導入プロジェクト,2026/04,2027/09,27000,1500,2026/12/24
PRJ0003,統合在庫管理システム移行プロジェクト,2025/04,2026/11,60000,7100,2026/08/18
PRJ0004,次世代会計システム導入プロジェクト,2026/12,2027/10,71000,13000,2027/09/28
PRJ0005,AI活用顧客管理システム構築プロジェクト,2025/01,2025/09,80000,13000,2026/08/17
PRJ0006,新規販売管理システム移行プロジェクト,2024/05,2026/03,50000,6200,2027/11/25
PRJ0007,次世代顧客管理システム開発プロジェクト,2024/07,2025/12,17000,3100,2027/06/23
PRJ0008,統合人事システム開発プロジェクト,2026/09,2028/09,25000,3500,2025/08/29
PRJ0009,AI活用在庫管理システム構築プロジェクト,2025/07,2027/05,28000,4400,2027/06/08
PRJ0010,DX推進人事システム刷新プロジェクト,2026/09,2027/07,72000,10000,2025/07/24
PRJ0011,統合ECサイト構築プロジェクト,2024/07,2025/09,53000,7100,2026/12/11
PRJ0012,新規ECサイト移行プロジェクト,2024/09,2025/08,94000,16000,2027/01/20
PRJ0013,次世代顧客管理システム移行プロジェクト,2024/04,2026/03,33000,5700,2027/02/15
PRJ0014,既存ECサイト移行プロジェクト,2026/07,2027/09,13000,1700,2025/09/25
PRJ0015,DX推進顧客管理システム導入プロジェクト,2026/05,2026/09,91000,7900,2027/06/29
PRJ0016,DX推進基幹システム移行プロジェクト,2026/02,2026/12,44000,3800,2025/07/20
PRJ0017,クラウドECサイト移行プロジェクト,2026/08,2027/02,77000,5600,2025/02/21
PRJ0018,次世代ECサイト導入プロジェクト,2026/05,2027/11,20000,1400,2027/07/30
PRJ0019,既存ECサイト構築プロジェクト,2025/02,2026/09,58000,4400,2025/06/15
PRJ0020,既存会計システム開発プロジェクト,2024/06,2026/04,16000,2100,2026/06/05
PRJ0021,統合ECサイト移行プロジェクト,2024/10,2025/02,81000,9500,2026/08/31
PRJ0022,次世代人事システム導入プロジェクト,2024/07,2025/08,14000,2300,2026/06/12
