id,nameJA,nameEN,category,categoryJA,categoryEN,icon,eolStatus,eolDate,eolDateEN,tags,projects
dashboard-system,不明,Unknown,data,データ基盤,Data,💼,warning,2028年3月,April 2027,"['Java', 'Angular', 'React', 'Python', 'MongoDB']","['erp', 'ecommerce', 'crm']"
mobile-system,不明,Unknown,frontend,フロントエンド,Frontend,📦,critical,2026年7月,February 2028,"['Vue.js', 'PostgreSQL']","['ecommerce', 'crm']"
web-platform,不明,Unknown,frontend,フロントエンド,Frontend,🌐,safe,2028年7月,January 2028,"['Vue.js', 'Azure', 'React', 'Angular', 'AWS']","['analytics', 'mobile', 'ecommerce']"
dashboard-system,不明,Unknown,data,データ基盤,Data,💰,warning,2028年12月,April 2026,"['Vue.js', 'Node.js', 'Kubernetes', 'AWS']","['ecommerce', 'analytics', 'mobile']"
dashboard-app,不明,Unknown,backend,バックエンド,Backend,📱,safe,2026年10月,January 2026,"['Azure', 'Kubernetes', 'Docker', 'Node.js', 'PostgreSQL']","['mobile', 'portal']"
cms-site,不明,Unknown,frontend,フロントエンド,Frontend,🔐,critical,2028年5月,March 2028,"['MongoDB', 'Python', 'Azure', 'PostgreSQL', 'Docker']",['analytics']
crm-tool,不明,Unknown,frontend,フロントエンド,Frontend,📊,unknown,2027年9月,March 2026,"['Azure', 'Vue.js']","['crm', 'mobile', 'ecommerce']"
portal-service,不明,Unknown,frontend,フロントエンド,Frontend,📝,critical,2026年5月,November 2027,"['Docker', 'Node.js', 'Python']","['portal', 'mobile', 'erp']"
portal-app,不明,Unknown,data,データ基盤,Data,📊,safe,2027年4月,October 2026,"['Angular', 'Node.js']","['portal', 'ecommerce']"
dashboard-tool,不明,Unknown,frontend,フロントエンド,Frontend,📊,warning,2027年10月,August 2026,"['AWS', 'Vue.js', 'Angular']",['analytics']
ec-tool,不明,Unknown,data,データ基盤,Data,💰,critical,2028年11月,May 2028,"['PostgreSQL', 'MongoDB']","['analytics', 'ecommerce']"
crm-site,不明,Unknown,data,データ基盤,Data,🛒,warning,2027年8月,March 2027,"['Python', 'React', 'Node.js', 'Kubernetes', 'AWS']","['portal', 'analytics']"
portal-tool,不明,Unknown,data,データ基盤,Data,📊,unknown,2027年8月,October 2028,"['Vue.js', 'Docker', 'Node.js', 'Python', 'Azure']",['ecommerce']
admin-site,不明,Unknown,frontend,フロントエンド,Frontend,🔐,unknown,2028年4月,December 2028,"['Vue.js', 'AWS', 'Node.js', 'Angular', 'Python']","['mobile', 'crm']"
cms-system,不明,Unknown,data,データ基盤,Data,📦,unknown,2028年8月,March 2026,"['Vue.js', 'React', 'Angular']",['crm']
cms-platform,不明,Unknown,backend,バックエンド,Backend,💰,warning,2028年3月,February 2027,"['Azure', 'Kubernetes', 'Python', 'MongoDB']","['mobile', 'portal']"
dashboard-system,不明,Unknown,frontend,フロントエンド,Frontend,⚙️,critical,2028年2月,January 2028,"['MongoDB', 'Python']","['portal', 'erp', 'analytics']"
portal-system,不明,Unknown,frontend,フロントエンド,Frontend,🔐,warning,2027年9月,October 2027,"['Python', 'AWS', 'Docker', 'MongoDB', 'Azure']","['mobile', 'erp', 'analytics']"
api-app,不明,Unknown,frontend,フロントエンド,Frontend,📝,warning,2028年11月,July 2028,"['Azure', 'React']","['mobile', 'analytics', 'ecommerce']"
cms-site,不明,Unknown,frontend,フロントエンド,Frontend,👥,critical,2028年6月,December 2027,"['Kubernetes', 'Java', 'Azure', 'Python', 'React']","['ecommerce', 'mobile', 'crm']"
dashboard-platform,不明,Unknown,frontend,フロントエンド,Frontend,📊,unknown,2026年4月,February 2026,"['Node.js', 'Docker']","['analytics', 'crm']"
crm-site,不明,Unknown,data,データ基盤,Data,🔐,unknown,2028年5月,December 2028,"['Docker', 'Python']","['erp', 'analytics']"
mobile-site,不明,Unknown,data,データ基盤,Data,💼,critical,2026年4月,April 2028,"['Angular', 'MongoDB']","['analytics', 'ecommerce']"
crm-system,不明,Unknown,frontend,フロントエンド,Frontend,💰,warning,2026年1月,December 2026,"['Python', 'Angular', 'Azure', 'PostgreSQL', 'MongoDB']","['analytics', 'erp']"
erp-app,不明,Unknown,data,データ基盤,Data,🛒,warning,2026年4月,November 2027,"['MongoDB', 'Java']","['erp', 'portal', 'crm']"
dashboard-app,不明,Unknown,frontend,フロントエンド,Frontend,🔧,unknown,2027年10月,February 2028,"['Java', 'Kubernetes', 'Vue.js', 'Angular', 'Docker']","['analytics', 'ecommerce', 'mobile']"
cms-app,不明,Unknown,data,データ基盤,Data,📝,safe,2026年8月,January 2028,"['Kubernetes', 'MongoDB', 'Python', 'PostgreSQL', 'React']",['ecommerce']
ec-system,不明,Unknown,data,データ基盤,Data,📝,safe,2027年11月,September 2027,"['Vue.js', 'Java', 'Python', 'Docker', 'Kubernetes']","['ecommerce', 'erp']"
portal-site,不明,Unknown,data,データ基盤,Data,🔧,safe,2028年4月,November 2027,"['AWS', 'React', 'Kubernetes', 'MongoDB', 'PostgreSQL']",['mobile']
portal-service,不明,Unknown,data,データ基盤,Data,📦,warning,2028年12月,February 2027,"['Node.js', 'AWS']",['mobile']
dashboard-service,不明,Unknown,backend,バックエンド,Backend,👥,warning,2027年8月,November 2028,"['Azure', 'MongoDB', 'Docker', 'React']","['mobile', 'erp', 'ecommerce']"
portal-tool,不明,Unknown,frontend,フロントエンド,Frontend,📝,unknown,2027年4月,January 2027,"['Python', 'AWS', 'Angular']","['erp', 'analytics']"
mobile-tool,不明,Unknown,backend,バックエンド,Backend,📝,safe,2026年11月,August 2027,"['MongoDB', 'Kubernetes', 'Vue.js', 'React']","['ecommerce', 'erp', 'mobile']"
dashboard-system,不明,Unknown,data,データ基盤,Data,🛒,unknown,2028年1月,July 2026,"['Kubernetes', 'Angular', 'Python']","['ecommerce', 'mobile']"
cms-service,不明,Unknown,backend,バックエンド,Backend,⚙️,unknown,2026年7月,November 2027,"['AWS', 'PostgreSQL']","['crm', 'portal', 'analytics']"
cms-site,不明,Unknown,frontend,フロントエンド,Frontend,📝,unknown,2026年3月,December 2027,"['Node.js', 'Vue.js']",['ecommerce']
web-tool,不明,Unknown,frontend,フロントエンド,Frontend,💰,critical,2028年9月,July 2026,"['Vue.js', 'Docker', 'Angular', 'MongoDB', 'Python']","['mobile', 'erp']"
mobile-site,不明,Unknown,data,データ基盤,Data,📦,safe,2027年1月,December 2026,"['PostgreSQL', 'MongoDB', 'Docker', 'Node.js']",['erp']
admin-site,不明,Unknown,backend,バックエンド,Backend,👥,safe,2028年4月,November 2028,"['AWS', 'Angular', 'PostgreSQL', 'Node.js', 'Docker']","['crm', 'analytics', 'ecommerce']"
ec-platform,不明,Unknown,backend,バックエンド,Backend,💼,critical,2026年8月,October 2027,"['Python', 'PostgreSQL']","['portal', 'erp', 'ecommerce']"
dashboard-platform,不明,Unknown,backend,バックエンド,Backend,👥,critical,2026年8月,August 2028,"['AWS', 'Python', 'React', 'Docker']",['erp']
mobile-system,不明,Unknown,frontend,フロントエンド,Frontend,📦,safe,2028年9月,July 2027,"['Azure', 'Kubernetes', 'MongoDB', 'Angular']","['erp', 'portal', 'mobile']"
ec-platform,不明,Unknown,frontend,フロントエンド,Frontend,⚙️,critical,2028年10月,October 2028,"['AWS', 'MongoDB', 'Java', 'Azure', 'PostgreSQL']",['crm']
crm-system,不明,Unknown,backend,バックエンド,Backend,🌐,unknown,2027年8月,June 2027,"['Java', 'Node.js', 'Docker', 'PostgreSQL', 'Azure']",['mobile']
crm-platform,不明,Unknown,frontend,フロントエンド,Frontend,💰,warning,2028年12月,February 2026,"['React', 'Java', 'MongoDB', 'PostgreSQL', 'AWS']","['analytics', 'ecommerce', 'crm']"
crm-tool,不明,Unknown,frontend,フロントエンド,Frontend,⚙️,unknown,2028年7月,August 2027,"['MongoDB', 'React', 'Angular']","['portal', 'ecommerce', 'mobile']"
cms-app,不明,Unknown,backend,バックエンド,Backend,🌐,safe,2028年8月,August 2026,"['Vue.js', 'MongoDB', 'Kubernetes', 'AWS']","['mobile', 'crm', 'analytics']"
crm-platform,不明,Unknown,frontend,フロントエンド,Frontend,📦,critical,2026年12月,October 2028,"['React', 'Angular', 'PostgreSQL', 'Docker', 'Vue.js']","['analytics', 'erp']"
cms-platform,不明,Unknown,backend,バックエンド,Backend,🛒,warning,2027年8月,July 2028,"['Python', 'Java', 'Azure', 'PostgreSQL', 'Vue.js']",['erp']
web-site,不明,Unknown,backend,バックエンド,Backend,💼,safe,2027年4月,January 2027,"['Docker', 'AWS', 'PostgreSQL', 'Java']","['portal', 'erp']"
web-site,不明,Unknown,data,データ基盤,Data,👥,critical,2028年5月,June 2027,"['AWS', 'React', 'Azure', 'Vue.js', 'Node.js']","['mobile', 'ecommerce', 'portal']"
portal-tool,不明,Unknown,backend,バックエンド,Backend,📊,warning,2028年8月,August 2026,"['Node.js', 'Vue.js', 'PostgreSQL', 'Docker']",['crm']
web-platform,不明,Unknown,frontend,フロントエンド,Frontend,📱,warning,2028年4月,June 2026,"['MongoDB', 'Angular']","['ecommerce', 'portal', 'erp']"
mobile-service,不明,Unknown,data,データ基盤,Data,👥,critical,2027年8月,June 2027,"['React', 'Kubernetes', 'Java', 'Docker']","['portal', 'analytics']"
api-system,不明,Unknown,backend,バックエンド,Backend,🛒,warning,2026年12月,October 2027,"['Java', 'Kubernetes', 'PostgreSQL', 'Angular']","['mobile', 'analytics']"
admin-system,不明,Unknown,data,データ基盤,Data,💼,safe,2027年4月,May 2028,"['AWS', 'PostgreSQL', 'Azure']","['erp', 'crm']"
api-app,不明,Unknown,frontend,フロントエンド,Frontend,📱,critical,2027年6月,January 2028,"['Angular', 'Kubernetes', 'Vue.js']","['ecommerce', 'erp', 'analytics']"
