カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
ビジネス変革,戦略・マネジメント・システム,ビジネス戦略策定・実行,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
ビジネス変革,戦略・マネジメント・システム,プロダクトマネジメント,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,変革マネジメント,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,システムズエンジニアリング,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,エンタープライズアーキテクチャ,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,戦略・マネジメント・システム,プロジェクトマネジメント,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネス調査,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスモデル設計,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
ビジネス変革,ビジネスモデル・プロセス,ビジネスアナリシス,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
ビジネス変革,ビジネスモデル・プロセス,検証（ビジネス視点）,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
ビジネス変革,ビジネスモデル・プロセス,マーケティング,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
ビジネス変革,ビジネスモデル・プロセス,ブランディング,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
デザイン,デザイン,顧客・ユーザー理解,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
デザイン,デザイン,価値発見・定義,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
デザイン,デザイン,設計,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
デザイン,デザイン,検証（顧客・ユーザー視点）,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
デザイン,デザイン,その他デザイン技術,フロントエンドエンジニア,ソフトウェアエンジニア,d,1.0
データ活用,データ・AIの戦略的活用,データ理解・活用,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
データ活用,データ・AIの戦略的活用,データ・AI活用戦略,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
データ活用,データ・AIの戦略的活用,データ・AI活用業務の設計・事業実装・評価,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
データ活用,AI・データサイエンス,数理統計・多変量解析・データ可視化,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
データ活用,AI・データサイエンス,機械学習・深層学習,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
データ活用,データエンジニアリング,データ活用基盤設計,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
データ活用,データエンジニアリング,データ活用基盤実装・運用,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
テクノロジー,ソフトウェア開発,コンピュータサイエンス,フロントエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,チーム開発,フロントエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,ソフトウェア設計手法,フロントエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,フロントエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,フロントエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,フロントエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,SREプロセス,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,サービス活用,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
