案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期
PRJ0001,AI活用販売管理システム移行プロジェクト,2024/09,2025/10,60000,9600,2025/10/02
PRJ0002,DX推進基幹システム移行プロジェクト,2026/01,2026/04,79000,6400,2027/06/26
PRJ0003,次世代ECサイト刷新プロジェクト,2025/11,2026/11,64000,7100,2027/03/29
PRJ0004,次世代在庫管理システム移行プロジェクト,2025/06,2026/04,47000,6700,2026/06/16
PRJ0005,クラウド人事システム刷新プロジェクト,2024/03,2024/08,59000,5100,2026/07/30
PRJ0006,次世代人事システム構築プロジェクト,2025/03,2025/09,55000,3400,2026/04/13
PRJ0007,DX推進ECサイト移行プロジェクト,2024/02,2026/01,99000,18000,2025/12/05
PRJ0008,AI活用人事システム導入プロジェクト,2026/09,2028/08,57000,10000,2025/06/24
PRJ0009,統合ECサイト導入プロジェクト,2024/11,2026/08,30000,1800,2027/03/23
PRJ0010,統合在庫管理システム導入プロジェクト,2026/06,2027/08,87000,12000,2025/03/15
PRJ0011,既存人事システム開発プロジェクト,2024/01,2024/09,14000,750,2026/08/27
PRJ0012,DX推進ECサイト開発プロジェクト,2024/07,2025/10,96000,17000,2025/12/25
PRJ0013,新規在庫管理システム開発プロジェクト,2025/02,2026/01,97000,19000,2028/01/01
PRJ0014,既存人事システム導入プロジェクト,2026/03,2027/12,15000,2300,2026/07/13
PRJ0015,既存基幹システム構築プロジェクト,2025/07,2027/06,25000,4700,2027/01/30
PRJ0016,クラウド在庫管理システム刷新プロジェクト,2026/03,2028/01,79000,13000,2026/08/31
PRJ0017,新規在庫管理システム導入プロジェクト,2024/02,2024/09,53000,6900,2027/02/05
PRJ0018,AI活用在庫管理システム移行プロジェクト,2026/07,2026/12,23000,4500,2027/07/23
PRJ0019,クラウド在庫管理システム構築プロジェクト,2025/02,2026/06,91000,12000,2027/01/14
PRJ0020,クラウド会計システム刷新プロジェクト,2025/12,2027/08,92000,8000,2026/07/08
PRJ0021,統合人事システム移行プロジェクト,2025/10,2026/11,44000,7200,2026/05/15
PRJ0022,AI活用販売管理システム構築プロジェクト,2024/01,2025/10,24000,1600,2027/05/16
PRJ0023,クラウド人事システム導入プロジェクト,2024/05,2026/04,19000,3200,2026/11/25
PRJ0024,AI活用顧客管理システム開発プロジェクト,2024/10,2026/09,50000,7500,2025/05/15
PRJ0025,次世代基幹システム導入プロジェクト,2026/08,2028/03,10000,750,2026/09/13
PRJ0026,AI活用基幹システム構築プロジェクト,2024/07,2024/10,34000,3700,2026/08/25
PRJ0027,新規人事システム移行プロジェクト,2024/04,2024/10,23000,1500,2025/07/20
PRJ0028,DX推進会計システム導入プロジェクト,2025/05,2025/12,19000,1500,2026/01/26
PRJ0029,新規基幹システム構築プロジェクト,2025/09,2027/03,55000,6700,2026/12/05
PRJ0030,次世代在庫管理システム刷新プロジェクト,2026/03,2027/07,56000,6400,2028/01/10
PRJ0031,次世代販売管理システム開発プロジェクト,2024/09,2025/02,32000,3700,2027/02/09
PRJ0032,クラウド販売管理システム構築プロジェクト,2026/12,2028/07,11000,2000,2025/07/15
PRJ0033,新規顧客管理システム開発プロジェクト,2025/02,2025/12,36000,7000,2027/10/25
PRJ0034,次世代在庫管理システム構築プロジェクト,2024/04,2025/07,85000,9600,2026/02/19
PRJ0035,次世代在庫管理システム刷新プロジェクト,2024/04,2026/04,37000,2600,2027/10/06
PRJ0036,次世代販売管理システム開発プロジェクト,2026/01,2027/11,61000,3700,2025/10/16
PRJ0037,新規会計システム導入プロジェクト,2026/04,2027/01,31000,5600,2026/05/10
PRJ0038,クラウド会計システム移行プロジェクト,2026/07,2027/06,94000,14000,2025/10/26
PRJ0039,次世代人事システム刷新プロジェクト,2026/04,2027/07,36000,6400,2027/03/28
PRJ0040,AI活用会計システム刷新プロジェクト,2026/03,2028/03,54000,4900,2026/08/20
PRJ0041,DX推進ECサイト刷新プロジェクト,2024/10,2025/06,92000,8800,2026/05/30
PRJ0042,次世代ECサイト導入プロジェクト,2024/12,2025/10,16000,2700,2025/11/22
PRJ0043,新規顧客管理システム移行プロジェクト,2026/10,2028/08,27000,3100,2026/01/22
PRJ0044,次世代ECサイト移行プロジェクト,2025/11,2027/08,97000,18000,2026/03/05
PRJ0045,次世代顧客管理システム導入プロジェクト,2025/12,2026/12,88000,6800,2027/12/16
